Name,Position,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fire,average,max,min,range,rel_range,upside
Drew Brees,QB,6900,Car@NO 04:25PM ET,21.99,NO,18.4,21.74,16.49,19.44,22.604,18.96,19.60566667,22.604,16.49,6.114,0.311848615,2.998333333
Matt Forte,RB,6900,SF@Chi 01:00PM ET,16.25,Chi,11,15.5,11.85,18.7,17.03,15.229,14.88483333,18.7,11,7.7,0.517305087,3.815166667
Alshon Jeffery,WR,6900,SF@Chi 01:00PM ET,20.75,Chi,22.5,21.2,17.32,22.7,18.43,15.767,19.65283333,22.7,15.767,6.933,0.352773561,3.047166667
Amari Cooper,WR,6900,KC@Oak 04:05PM ET,16.227,Oak,19.5,22.4,14.38,22.6,15.86,15.3748,18.35246667,22.6,14.38,8.22,0.447896196,4.247533333
Carson Palmer,QB,6700,Ari@StL 01:00PM ET,23.598,Ari,18.8,19.2,18.92,19.64,19.914,20.8,19.54566667,20.8,18.8,2,0.102324471,1.254333333
Matt Ryan,QB,6700,Atl@TB 01:00PM ET,17.671,Atl,18.6,26.48,17.57,27.6,17.286,24.84,22.06266667,27.6,17.286,10.314,0.467486553,5.537333333
Andrew Luck,QB,6700,Ind@Pit 08:30PM ET,21.406,Ind,,,,,,,,,,,,
Jarvis Landry,WR,6700,Bal@Mia 01:00PM ET,19.333,Mia,21.5,17.1,16.06,17,17.56,16.816,17.67266667,21.5,16.06,5.44,0.307819986,3.827333333
Philip Rivers,QB,6600,Den@SD 04:05PM ET,22.667,SD,18.2,20.5,15.08,13.22,21.41,16.821,17.5385,21.41,13.22,8.19,0.46697266,3.8715
Ben Roethlisberger,QB,6600,Ind@Pit 08:30PM ET,22.46,Pit,23.9,21.76,18.04,23.76,20.06,20.2678,21.29796667,23.9,18.04,5.86,0.275143637,2.602033333
Adrian Peterson,RB,6600,Sea@Min 01:00PM ET,20.155,Min,19,15.9,14.75,25,21.53,15.7428,18.6538,25,14.75,10.25,0.549485896,6.3462
Eli Manning,QB,6500,NYJ@NYG 01:00PM ET,19.958,NYG,18.4,20.62,17.28,17.86,19.68,17.816,18.60933333,20.62,17.28,3.34,0.179479831,2.010666667
Emmanuel Sanders,WR,6500,Den@SD 04:05PM ET,16.02,Den,16,19.5,16.75,19,12.22,15.762,16.53866667,19.5,12.22,7.28,0.440180587,2.961333333
Michael Crabtree,WR,6500,KC@Oak 04:05PM ET,16.136,Oak,17.5,14.6,11.43,15,15.69,10.833,14.1755,17.5,10.833,6.667,0.470318507,3.3245
Greg Olsen,TE,6400,Car@NO 04:25PM ET,15.8,Car,20.5,19.2,15.55,18.4,16.42,16.556,17.771,20.5,15.55,4.95,0.278543695,2.729
Andy Dalton,QB,6400,Cin@Cle 01:00PM ET,21.813,Cin,20.1,18.94,18.15,23.4,19.586,22.968,20.524,23.4,18.15,5.25,0.25579809,2.876
Mark Ingram,RB,6400,Car@NO 04:25PM ET,17.045,NO,20,12.7,15.55,12.9,19.78,13.429,15.7265,20,12.7,7.3,0.464184656,4.2735
Marshawn Lynch,RB,6300,Sea@Min 01:00PM ET,12.243,Sea,,,,,,,,,,,,
Eric Decker,WR,6300,NYJ@NYG 01:00PM ET,16.8,NYJ,19,19.4,13.67,20.6,16.58,12.534,16.964,20.6,12.534,8.066,0.475477482,3.636
Brandin Cooks,WR,6300,Car@NO 04:25PM ET,15.309,NO,13.5,17.8,16.58,18,12.91,13.073,15.3105,18,12.91,5.09,0.332451586,2.6895
Derek Carr,QB,6200,KC@Oak 04:05PM ET,20.6,Oak,18.3,16.64,16.5,19.14,17.912,18.4206,17.81876667,19.14,16.5,2.64,0.148158402,1.321233333
Blake Bortles,QB,6000,Jax@Ten 01:00PM ET,20.689,Jax,20,23.56,16.75,18.52,17.866,17.3404,19.00606667,23.56,16.75,6.81,0.358306646,4.553933333
Peyton Manning,QB,5900,Den@SD 04:05PM ET,12.422,Den,,,,,,,,,,,,
Chris Ivory,RB,5900,NYJ@NYG 01:00PM ET,16.66,NYJ,15,18,12.9,16.4,13.03,14.536,14.97766667,18,12.9,5.1,0.340506977,3.022333333
Doug Martin,RB,5900,Atl@TB 01:00PM ET,16.245,TB,20,20.2,13.31,12.9,16.2,16.67,16.54666667,20.2,12.9,7.3,0.441176471,3.653333333
DeMarco Murray,RB,5800,Phi@NE 04:25PM ET,15.5,Phi,11,14.9,13.07,15.2,15.54,16.027,14.2895,16.027,11,5.027,0.351796774,1.7375
Lamar Miller,RB,5800,Bal@Mia 01:00PM ET,16.073,Mia,12.5,12.6,14.98,7.8,15.49,14.767,13.02283333,15.49,7.8,7.69,0.590501299,2.467166667
Tyler Eifert,TE,5800,Cin@Cle 01:00PM ET,15.745,Cin,,19.8,,20.1,,,19.95,20.1,19.8,0.3,0.015037594,0.15
Jordan Matthews,WR,5800,Phi@NE 04:25PM ET,13.045,Phi,16,12,11.48,11.3,13.07,11.811,12.61016667,16,11.3,4.7,0.372715137,3.389833333
Delanie Walker,TE,5700,Jax@Ten 01:00PM ET,15.28,Ten,18.5,18.8,8.59,19,13.66,13.992,15.42366667,19,8.59,10.41,0.674936785,3.576333333
LeSean McCoy,RB,5700,Hou@Buf 01:00PM ET,17.322,Buf,19.5,14.7,15.99,15.5,24.21,17.277,17.86283333,24.21,14.7,9.51,0.532390345,6.347166667
T.Y. Hilton,WR,5700,Ind@Pit 08:30PM ET,15.082,Ind,18.5,19.3,16.39,26.4,16.15,15.152,18.64866667,26.4,15.152,11.248,0.60315304,7.751333333
Allen Hurns,WR,5700,Jax@Ten 01:00PM ET,15.8,Jax,,18,,,,,18,18,18,0,0,0
DeAngelo Williams,RB,5600,Ind@Pit 08:30PM ET,12.982,Pit,20.5,15.9,15.46,17.5,22.19,17.154,18.11733333,22.19,15.46,6.73,0.371467471,4.072666667
Tony Romo,QB,5600,Dal@Was 08:30PM ET,12.915,Dal,,,,,,,,,,,,
Russell Wilson,QB,5600,Sea@Min 01:00PM ET,19.529,Sea,15.5,25.04,17.63,15.64,18.598,18.4734,18.48023333,25.04,15.5,9.54,0.516227248,6.559766667
Martavis Bryant,WR,5600,Ind@Pit 08:30PM ET,20.35,Pit,20.5,17.9,11.99,18.2,15.35,12.481,16.07016667,20.5,11.99,8.51,0.529552691,4.429833333
Sammy Watkins,WR,5600,Hou@Buf 01:00PM ET,14.95,Buf,20.5,16,12.33,8.6,14.62,13.251,14.21683333,20.5,8.6,11.9,0.837035908,6.283166667
Marcus Mariota,QB,5500,Jax@Ten 01:00PM ET,19.051,Ten,18.1,29.28,15.19,20.28,17.98,15.5672,19.39953333,29.28,15.19,14.09,0.726306131,9.880466667
Javorius Allen,RB,5400,Bal@Mia 01:00PM ET,6.082,Bal,19,14.6,11.88,17.6,16.18,13.978,15.53966667,19,11.88,7.12,0.458182286,3.460333333
Thomas Rawls,RB,5400,Sea@Min 01:00PM ET,10.264,Sea,17.5,26.2,14.03,18.2,14.67,14.158,17.45966667,26.2,14.03,12.17,0.697035071,8.740333333
Matt Hasselbeck,QB,5300,Ind@Pit 08:30PM ET,17.555,Ind,18.2,12.4,16.84,14.04,17.574,16.3796,15.9056,18.2,12.4,5.8,0.364651444,2.2944
Gary Barnidge,TE,5300,Cin@Cle 01:00PM ET,16.527,Cle,18.5,19,12.98,19.5,14.16,14.433,16.42883333,19.5,12.98,6.52,0.396863238,3.071166667
Darren McFadden,RB,5300,Dal@Was 08:30PM ET,13.009,Dal,15.5,14.1,12.9,8.4,15.77,15.433,13.68383333,15.77,8.4,7.37,0.538591769,2.086166667
Jonathan Stewart,RB,5300,Car@NO 04:25PM ET,12.327,Car,16.5,16.5,12.88,17.4,15.53,15.371,15.69683333,17.4,12.88,4.52,0.28795617,1.703166667
Ryan Tannehill,QB,5300,Bal@Mia 01:00PM ET,18.84,Mia,18.3,18.18,19.49,19.68,19.194,15.6156,18.40993333,19.68,15.6156,4.0644,0.220772119,1.270066667
Jordan Reed,TE,5300,Dal@Was 08:30PM ET,15.9,Was,17,12.2,13.74,5.8,11.81,14.912,12.577,17,5.8,11.2,0.890514431,4.423
Jeremy Langford,RB,5300,SF@Chi 01:00PM ET,10.545,Chi,18,4.9,13.41,12.4,12.42,10.648,11.963,18,4.9,13.1,1.095043049,6.037
Jameis Winston,QB,5300,Atl@TB 01:00PM ET,18.136,TB,18,20.46,17.81,18.16,16.274,17.0752,17.9632,20.46,16.274,4.186,0.233031976,2.4968
Ryan Fitzpatrick,QB,5200,NYJ@NYG 01:00PM ET,17.976,NYJ,19.6,21.48,17.21,25.2,19.388,18.981,20.30983333,25.2,17.21,7.99,0.393405493,4.890166667
Jeremy Maclin,WR,5200,KC@Oak 04:05PM ET,16.1,KC,13.5,18.2,15.96,19.2,14.28,14.421,15.92683333,19.2,13.5,5.7,0.357886586,3.273166667
Tyrod Taylor,QB,5200,Hou@Buf 01:00PM ET,19.089,Buf,15,15.14,17.44,12.6,16.916,16.1798,15.54596667,17.44,12.6,4.84,0.311334773,1.894033333
Kirk Cousins,QB,5200,Dal@Was 08:30PM ET,17.88,Was,18.1,16.44,16.5,13.4,13.35,16.9636,15.79226667,18.1,13.35,4.75,0.300780129,2.307733333
Travis Benjamin,WR,5200,Cin@Cle 01:00PM ET,16.355,Cle,19.5,17,10.68,15.7,14.15,12.744,14.96233333,19.5,10.68,8.82,0.58948025,4.537666667
Brock Osweiler,QB,5200,Den@SD 04:05PM ET,10.81,Den,18.5,22.42,16.92,24.3,15.994,17.1836,19.2196,24.3,15.994,8.306,0.432163,5.0804
Charcandrick West,RB,5200,KC@Oak 04:05PM ET,9.72,KC,14.5,14.8,13.53,15.3,14.37,13.897,14.3995,15.3,13.53,1.77,0.122920935,0.9005
Josh McCown,QB,5100,Cin@Cle 01:00PM ET,18.895,Cle,,,,,,,,,,,,
Matt Cassel,QB,5100,Dal@Was 08:30PM ET,10.097,Dal,13.3,24.56,12.93,15.38,13.288,13.8766,15.55576667,24.56,12.93,11.63,0.747632711,9.004233333
Jay Cutler,QB,5100,SF@Chi 01:00PM ET,17.67,Chi,19.1,18.04,17.9,19.22,17.272,18.9736,18.4176,19.22,17.272,1.948,0.105768395,0.8024
Alex Smith,QB,5100,KC@Oak 04:05PM ET,17.595,KC,16.1,16.98,18.4,19.44,16.258,17.676,17.47566667,19.44,16.1,3.34,0.191122895,1.964333333
Mark Sanchez,QB,5100,Phi@NE 04:25PM ET,12.613,Phi,,,,,,,,,,,,
DeSean Jackson,WR,5100,Dal@Was 08:30PM ET,9.04,Was,17,19.2,11.92,10,10.18,13.846,13.691,19.2,10,9.2,0.67197429,5.509
Sam Bradford,QB,5100,Phi@NE 04:25PM ET,14.887,Phi,13.5,12.4,13.8,9.68,16.476,14.5286,13.39743333,16.476,9.68,6.796,0.507261341,3.078566667
LeGarrette Blount,RB,5100,Phi@NE 04:25PM ET,11.49,NE,14.5,11.6,11.24,6.9,14.26,13.057,11.92616667,14.5,6.9,7.6,0.637254217,2.573833333
Mike Vick,QB,5000,Ind@Pit 08:30PM ET,6.348,Pit,,,,,,,,,,,,
Charlie Whitehurst,QB,5000,Ind@Pit 08:30PM ET,0,Ind,,,,,,,,,,,,
Tarvaris Jackson,QB,5000,Sea@Min 01:00PM ET,0,Sea,,,,,,,,,,,,
Derek Anderson,QB,5000,Car@NO 04:25PM ET,0.2,Car,,,,,,,,,,,,
Kellen Clemens,QB,5000,Den@SD 04:05PM ET,6.52,SD,,,,,,,,,,,,
Shaun Hill,QB,5000,Sea@Min 01:00PM ET,0.25,Min,,,,,,,,,,,,
Matt Moore,QB,5000,Bal@Mia 01:00PM ET,0.36,Mia,,,,,,,,,,,,
Drew Stanton,QB,5000,Ari@StL 01:00PM ET,-0.067,Ari,,,,,,,,,,,,
Matt Flynn,QB,5000,Car@NO 04:25PM ET,0,NO,,,,,,,,,,,,
Matt Schaub,QB,5000,Bal@Mia 01:00PM ET,16.28,Bal,14.1,9.98,15.97,11.98,16.734,16.181,14.1575,16.734,9.98,6.754,0.477061628,2.5765
Brian Hoyer,QB,5000,Hou@Buf 01:00PM ET,17.045,Hou,18.1,9.98,12.91,17.74,15.582,15.409,14.9535,18.1,9.98,8.12,0.543016685,3.1465
Chad Henne,QB,5000,Jax@Ten 01:00PM ET,0,Jax,,,,,,,,,,,,
Josh Johnson,QB,5000,Hou@Buf 01:00PM ET,0,Buf,,,,,,,,,,,,
Joe Webb,QB,5000,Car@NO 04:25PM ET,-0.009,Car,,,,,,,,,,,,
Chase Daniel,QB,5000,KC@Oak 04:05PM ET,0.16,KC,,,,,,,,,,,,
Colt McCoy,QB,5000,Dal@Was 08:30PM ET,0,Was,,,,,,,,,,,,
T.J. Yates,QB,5000,Hou@Buf 01:00PM ET,11.11,Hou,,,,,,,,,,,,
Christian Ponder,QB,5000,Den@SD 04:05PM ET,0,Den,,,,,,,,,,,,
Thaddeus Lewis,QB,5000,Phi@NE 04:25PM ET,0,Phi,,,,,,,,,,,,
Case Keenum,QB,5000,Ari@StL 01:00PM ET,3.72,StL,,,,,,,,,,,,
Jimmy Clausen,QB,5000,Bal@Mia 01:00PM ET,2.387,Bal,,,,,,,,,,,,
Brandon Weeden,QB,5000,Hou@Buf 01:00PM ET,9.63,Hou,,,,,,,,,,,,
Austin Davis,QB,5000,Cin@Cle 01:00PM ET,7.78,Cle,17.6,,11.29,,16.728,14.6162,15.05855,17.6,11.29,6.31,0.419031049,2.54145
Nick Foles,QB,5000,Ari@StL 01:00PM ET,10.344,StL,11.3,16.72,12.45,17.72,12.814,9.4914,13.4159,17.72,9.4914,8.2286,0.61334685,4.3041
Landry Jones,QB,5000,Ind@Pit 08:30PM ET,5.444,Pit,,,,,,,,,,,,
Robert Griffin III,QB,5000,Dal@Was 08:30PM ET,0,Was,,,,,,,,,,,,
EJ Manuel,QB,5000,Hou@Buf 01:00PM ET,10.56,Buf,,,,,,,,,,,,
Blaine Gabbert,QB,5000,SF@Chi 01:00PM ET,17.727,SF,13.5,22.02,14.56,18.92,10.944,15.6336,15.9296,22.02,10.944,11.076,0.695309361,6.0904
Sean Renfree,QB,5000,Atl@TB 01:00PM ET,-0.4,Atl,,,,,,,,,,,,
Mike Glennon,QB,5000,Atl@TB 01:00PM ET,0,TB,,,,,,,,,,,,
Ryan Nassib,QB,5000,NYJ@NYG 01:00PM ET,0,NYG,,,,,,,,,,,,
Ryan Griffin,QB,5000,Atl@TB 01:00PM ET,0,TB,6,3.4,4.47,4.1,6.64,3.172,4.630333333,6.64,3.172,3.468,0.748974156,2.009666667
Matt McGloin,QB,5000,KC@Oak 04:05PM ET,5.84,Oak,,,,,,,,,,,,
Matt Barkley,QB,5000,Ari@StL 01:00PM ET,0,Ari,,,,,,,,,,,,
Zach Mettenberger,QB,5000,Jax@Ten 01:00PM ET,4.185,Ten,,,,,,,,,,,,
Aaron Murray,QB,5000,KC@Oak 04:05PM ET,0,KC,,,,,,,,,,,,
Bryce Petty,QB,5000,NYJ@NYG 01:00PM ET,0,NYJ,,,,,,,,,,,,
AJ McCarron,QB,5000,Cin@Cle 01:00PM ET,-0.04,Cin,,,,,,,,,,,,
David Fales,QB,5000,SF@Chi 01:00PM ET,0,Chi,,,,,,,,,,,,
Geno Smith,QB,5000,NYJ@NYG 01:00PM ET,21,NYJ,,,,,,,,,,,,
Garrett Grayson,QB,5000,Car@NO 04:25PM ET,0,NO,,,,,,,,,,,,
Trevor Siemian,QB,5000,Den@SD 04:05PM ET,0,Den,,,,,,,,,,,,
Dylan Thompson,QB,5000,SF@Chi 01:00PM ET,0,SF,,,,,,,,,,,,
Jimmy Garoppolo,QB,5000,Phi@NE 04:25PM ET,-0.125,NE,,,,,,,,,,,,
Sean Mannion,QB,5000,Ari@StL 01:00PM ET,1.24,StL,,,,,,,,,,,,
Teddy Bridgewater,QB,5000,Sea@Min 01:00PM ET,13.345,Min,13.6,14.7,12.41,13.4,12.586,13.9696,13.44426667,14.7,12.41,2.29,0.170332831,1.255733333
Johnny Manziel,QB,5000,Cin@Cle 01:00PM ET,9.189,Cle,,,1.394,,,,1.394,1.394,1.394,0,0,0
Taylor Heinicke,QB,5000,Sea@Min 01:00PM ET,0,Min,,,,,,,,,,,,
Antonio Gates,TE,4900,Den@SD 04:05PM ET,15.683,SD,16.5,13.2,11.17,13.2,12.14,11.953,13.02716667,16.5,11.17,5.33,0.409144992,3.472833333
Spencer Ware,RB,4900,KC@Oak 04:05PM ET,9.167,KC,11.5,,10.54,12.1,8.34,4.964,9.4888,12.1,4.964,7.136,0.752044516,2.6112
Brandon LaFell,WR,4800,Phi@NE 04:25PM ET,9.7,NE,18,17.8,14.58,16.7,16.38,13.791,16.2085,18,13.791,4.209,0.259678564,1.7915
Danny Woodhead,RB,4800,Den@SD 04:05PM ET,14.855,SD,18,17.8,11.93,10.4,13.1,8.504,13.289,18,8.504,9.496,0.714575965,4.711
Kamar Aiken,WR,4800,Bal@Mia 01:00PM ET,10.873,Bal,20.5,15.4,15.59,16.4,13.78,15.314,16.164,20.5,13.78,6.72,0.415738679,4.336
Latavius Murray,RB,4800,KC@Oak 04:05PM ET,13.464,Oak,11.5,7.9,13.24,5.7,12.95,13.445,10.78916667,13.445,5.7,7.745,0.717849695,2.655833333
John Brown,WR,4800,Ari@StL 01:00PM ET,14.36,Ari,17.5,14.4,15.15,7,12.16,10.615,12.80416667,17.5,7,10.5,0.820045558,4.695833333
Jeremy Hill,RB,4800,Cin@Cle 01:00PM ET,10.127,Cin,14.5,16.6,10.81,16,11.22,14.553,13.94716667,16.6,10.81,5.79,0.415138081,2.652833333
T.J. Yeldon,RB,4800,Jax@Ten 01:00PM ET,13.1,Jax,13.5,23.4,13.89,16.1,12.11,15.0674,15.6779,23.4,12.11,11.29,0.720121955,7.7221
Tevin Coleman,RB,4800,Atl@TB 01:00PM ET,4.678,Atl,3,8.5,6.07,2.8,2.39,4.244,4.500666667,8.5,2.39,6.11,1.357576655,3.999333333
Jason Witten,TE,4700,Dal@Was 08:30PM ET,10.618,Dal,8.5,17.6,9.81,16.6,8.88,10.617,12.00116667,17.6,8.5,9.1,0.758259614,5.598833333
Vincent Jackson,WR,4700,Atl@TB 01:00PM ET,12.138,TB,16.5,18,12.68,15.1,10.78,11.008,14.01133333,18,10.78,7.22,0.51529714,3.988666667
Danny Amendola,WR,4700,Phi@NE 04:25PM ET,12.01,NE,20.5,8,13.26,7.8,17.42,16.574,13.92566667,20.5,7.8,12.7,0.911985064,6.574333333
Stevie Johnson,WR,4700,Den@SD 04:05PM ET,12.522,SD,11.5,11.4,9.47,4.4,12.95,14.967,10.78116667,14.967,4.4,10.567,0.980135112,4.185833333
Travis Kelce,TE,4700,KC@Oak 04:05PM ET,13.718,KC,18.5,16.2,13.9,17.1,13.9,12.259,15.30983333,18.5,12.259,6.241,0.407646502,3.190166667
Stefon Diggs,WR,4700,Sea@Min 01:00PM ET,15.038,Min,9,16.8,11.97,18.7,10.7,11.848,13.16966667,18.7,9,9.7,0.736541041,5.530333333
Chris Johnson,RB,4600,Ari@StL 01:00PM ET,11.018,Ari,,,,,,,,,,,,
Alfred Blue,RB,4600,Hou@Buf 01:00PM ET,7.927,Hou,8.5,5.5,9.09,5.9,9.38,10.629,8.1665,10.629,5.5,5.129,0.628053634,2.4625
Donte Moncrief,WR,4600,Ind@Pit 08:30PM ET,13.309,Ind,19,15.7,13.65,15.5,13.69,11.825,14.89416667,19,11.825,7.175,0.481732222,4.105833333
Jimmy Graham,TE,4500,Sea@Min 01:00PM ET,11.227,Sea,,,,,,,,,,,,
Ronnie Hillman,RB,4500,Den@SD 04:05PM ET,10.636,Den,8.5,15.9,10.05,16.2,8.73,10.407,11.63116667,16.2,8.5,7.7,0.662014415,4.568833333
Giovani Bernard,RB,4500,Cin@Cle 01:00PM ET,13.618,Cin,11,24,13.47,17.6,12.11,13.56,15.29,24,11,13,0.850228908,8.71
Willie Snead,WR,4500,Car@NO 04:25PM ET,12.055,NO,,17.2,,9.5,,,13.35,17.2,9.5,7.7,0.576779026,3.85
Benjamin Watson,TE,4400,Car@NO 04:25PM ET,12.127,NO,,9.4,9.47,11.6,12.14,10.54,10.63,12.14,9.4,2.74,0.257761054,1.51
Frank Gore,RB,4300,Ind@Pit 08:30PM ET,12.1,Ind,9.5,14.2,14.01,8.8,12.45,11.039,11.6665,14.2,8.8,5.4,0.462863755,2.5335
Kendall Wright,WR,4300,Jax@Ten 01:00PM ET,11.113,Ten,18.5,15.6,10.07,16.4,11.82,11.108,13.91633333,18.5,10.07,8.43,0.605763012,4.583666667
Tavon Austin,WR,4300,Ari@StL 01:00PM ET,13.427,StL,16,8.3,7.31,7.7,10.9,10.144,10.059,16,7.31,8.69,0.863902972,5.941
Pierre Garcon,WR,4200,Dal@Was 08:30PM ET,10.709,Was,7,17.4,11.45,9.1,7.73,9.061,10.29016667,17.4,7,10.4,1.01067362,7.109833333
Shane Vereen,RB,4200,NYJ@NYG 01:00PM ET,10.227,NYG,8,19.2,9.71,7.4,9.28,5.714,9.884,19.2,5.714,13.486,1.364427357,9.316
Anquan Boldin,WR,4100,SF@Chi 01:00PM ET,13.089,SF,19,18.2,13.58,14.9,11.92,12.412,15.002,19,11.92,7.08,0.471937075,3.998
Terrance Williams,WR,4100,Dal@Was 08:30PM ET,9.1,Dal,7,13.4,9.04,11.6,7.39,7.802,9.372,13.4,7,6.4,0.68288519,4.028
Shaun Draughn,RB,4000,SF@Chi 01:00PM ET,5.75,SF,12,16.9,15.3,13.3,16.07,12.775,14.39083333,16.9,12,4.9,0.340494528,2.509166667
Julius Thomas,TE,4000,Jax@Ten 01:00PM ET,11.186,Jax,18.5,15.2,13.03,14.4,12.1,9.893,13.85383333,18.5,9.893,8.607,0.621272091,4.646166667
Rishard Matthews,WR,4000,Bal@Mia 01:00PM ET,12.691,Mia,,15.4,,,,,15.4,15.4,15.4,0,0,0
Marquess Wilson,WR,4000,SF@Chi 01:00PM ET,7.582,Chi,,3.8,,,,,3.8,3.8,3.8,0,0,0
Cardinals ,DST,3900,Ari@StL 01:00PM ET,9.273,Ari,10,10,10,10,10,10,10,10,10,0,0,0
Rueben Randle,WR,3900,NYJ@NYG 01:00PM ET,10.736,NYG,7,15.4,9.9,14.8,9.18,9.055,10.88916667,15.4,7,8.4,0.771408893,4.510833333
Nate Washington,WR,3800,Hou@Buf 01:00PM ET,11.878,Hou,15.5,4,9.23,4.5,9.28,8.155,8.444166667,15.5,4,11.5,1.361886904,7.055833333
Doug Baldwin,WR,3800,Sea@Min 01:00PM ET,14.582,Sea,17,15.3,13.63,8.7,12.03,9.828,12.748,17,8.7,8.3,0.651082523,4.252
Michael Floyd,WR,3800,Ari@StL 01:00PM ET,10.86,Ari,9,7.8,10.38,7.7,10.61,8.353,8.973833333,10.61,7.7,2.91,0.324276136,1.636166667
Marvin Jones,WR,3800,Cin@Cle 01:00PM ET,10.664,Cin,14,16.8,9.95,16.3,11.37,7.61,12.67166667,16.8,7.61,9.19,0.725240037,4.128333333
Carlos Hyde,RB,3800,SF@Chi 01:00PM ET,12.043,SF,,,,,,,,,,,,
Terrance West,RB,3800,Bal@Mia 01:00PM ET,2.267,Bal,3.5,,7.44,11.2,5.38,,6.88,11.2,3.5,7.7,1.119186047,4.32
Duke Johnson Jr.,RB,3800,Cin@Cle 01:00PM ET,10.782,Cle,10.5,15.4,10.46,10,11.9,7.48,10.95666667,15.4,7.48,7.92,0.722847581,4.443333333
Matt Jones,RB,3800,Dal@Was 08:30PM ET,10.28,Was,8,17,9.85,13.2,8.87,6.009,10.48816667,17,6.009,10.991,1.04794292,6.511833333
Jacob Tamme,TE,3700,Atl@TB 01:00PM ET,10.45,Atl,10,1.6,9.54,1.8,11.6,11.559,7.683166667,11.6,1.6,10,1.301546671,3.916833333
Alfred Morris,RB,3700,Dal@Was 08:30PM ET,6.064,Was,6,11.1,8.56,11.7,8.53,8.9858,9.145966667,11.7,6,5.7,0.623225538,2.554033333
Kyle Rudolph,TE,3700,Sea@Min 01:00PM ET,8.827,Min,8,8.8,6.87,11.5,7.79,6.364,8.220666667,11.5,6.364,5.136,0.624766848,3.279333333
Devin Funchess,WR,3700,Car@NO 04:25PM ET,5.318,Car,10,11.4,7.26,11.1,8.6,6.558,9.153,11.4,6.558,4.842,0.529006883,2.247
Seahawks ,DST,3600,Sea@Min 01:00PM ET,10.455,Sea,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,0,0,0
Ted Ginn Jr.,WR,3600,Car@NO 04:25PM ET,9.455,Car,9,9.4,8.68,8.3,10.69,7.123,8.8655,10.69,7.123,3.567,0.402346173,1.8245
Malcom Floyd,WR,3600,Den@SD 04:05PM ET,8.21,SD,4,,5.8,,8.57,7.638,6.502,8.57,4,4.57,0.702860658,2.068
