,QB,QB_sal,QB_score,RB1,RB2,RB_sal,RB_score,WR1,WR2,WR3,WR_sal,WR_score,TE,TE_sal,TE_score,FLEX,FLEX_sal,FLEX_score,salary,score,Unique_flex
258,Geno Smith,5100,12.2448,Melvin Gordon,C.J. Spiller,7100,22.3486,Antonio Brown,Dez Bryant,Amari Cooper,22700,51.96,Austin Seferian-Jenkins,2800,10.157,A.J. Green,7600,16.66,45300,113.3704,1
267,Geno Smith,5100,12.2448,Melvin Gordon,C.J. Spiller,7100,22.3486,Dez Bryant,A.J. Green,Amari Cooper,22200,51.78,Austin Seferian-Jenkins,2800,10.157,Antonio Brown,8100,16.84,45300,113.3704,1
170,Geno Smith,5100,12.2448,Eddie Lacy,Melvin Gordon,10100,25.82,Antonio Brown,Dez Bryant,A.J. Green,23600,52.5,Austin Seferian-Jenkins,2800,10.157,Mike Wallace,4100,12.6,45700,113.3218,1
183,Geno Smith,5100,12.2448,Eddie Lacy,Melvin Gordon,10100,25.82,Antonio Brown,Dez Bryant,Mike Wallace,20100,48.44,Austin Seferian-Jenkins,2800,10.157,A.J. Green,7600,16.66,45700,113.3218,1
197,Geno Smith,5100,12.2448,Eddie Lacy,Melvin Gordon,10100,25.82,Dez Bryant,A.J. Green,Mike Wallace,19600,48.26,Austin Seferian-Jenkins,2800,10.157,Antonio Brown,8100,16.84,45700,113.3218,1
46,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Antonio Brown,Dez Bryant,Amari Cooper,22700,51.96,Owen Daniels,2600,9.26,Mike Wallace,4100,12.6,46900,113.29,1
64,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Antonio Brown,Dez Bryant,Mike Wallace,20100,48.44,Owen Daniels,2600,9.26,Amari Cooper,6700,16.12,46900,113.29,1
129,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Dez Bryant,Amari Cooper,Mike Wallace,18700,47.72,Owen Daniels,2600,9.26,Antonio Brown,8100,16.84,46900,113.29,1
24,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Antonio Brown,Dez Bryant,Amari Cooper,22700,51.96,Ladarius Green,3300,10.41,Marques Colston,3400,11.4,46900,113.24,1
133,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Dez Bryant,Amari Cooper,Marques Colston,18000,46.52,Ladarius Green,3300,10.41,Antonio Brown,8100,16.84,46900,113.24,1
99,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Dez Bryant,A.J. Green,Amari Cooper,22200,51.78,Owen Daniels,2600,9.26,Mike Wallace,4100,12.6,46400,113.11,1
115,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Dez Bryant,A.J. Green,Mike Wallace,19600,48.26,Owen Daniels,2600,9.26,Amari Cooper,6700,16.12,46400,113.11,1
131,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Dez Bryant,Amari Cooper,Mike Wallace,18700,47.72,Owen Daniels,2600,9.26,A.J. Green,7600,16.66,46400,113.11,1
76,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Dez Bryant,A.J. Green,Amari Cooper,22200,51.78,Ladarius Green,3300,10.41,Marques Colston,3400,11.4,46400,113.06,1
135,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Dez Bryant,Amari Cooper,Marques Colston,18000,46.52,Ladarius Green,3300,10.41,A.J. Green,7600,16.66,46400,113.06,1
173,Geno Smith,5100,12.2448,Eddie Lacy,Melvin Gordon,10100,25.82,Antonio Brown,Dez Bryant,Amari Cooper,22700,51.96,Ladarius Green,3300,10.41,Mike Wallace,4100,12.6,45300,113.0348,1
180,Geno Smith,5100,12.2448,Eddie Lacy,Melvin Gordon,10100,25.82,Antonio Brown,Dez Bryant,Mike Wallace,20100,48.44,Ladarius Green,3300,10.41,Amari Cooper,6700,16.12,45300,113.0348,1
207,Geno Smith,5100,12.2448,Eddie Lacy,Melvin Gordon,10100,25.82,Dez Bryant,Amari Cooper,Mike Wallace,18700,47.72,Ladarius Green,3300,10.41,Antonio Brown,8100,16.84,45300,113.0348,1
36,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Antonio Brown,Dez Bryant,Amari Cooper,22700,51.96,Austin Seferian-Jenkins,2800,10.157,Marques Colston,3400,11.4,46400,112.987,1
136,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Dez Bryant,Amari Cooper,Marques Colston,18000,46.52,Austin Seferian-Jenkins,2800,10.157,Antonio Brown,8100,16.84,46400,112.987,1
167,Geno Smith,5100,12.2448,Eddie Lacy,Melvin Gordon,10100,25.82,Antonio Brown,Dez Bryant,A.J. Green,23600,52.5,Delanie Walker,4200,10.98,Marques Colston,3400,11.4,46400,112.9448,1
74,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Dez Bryant,A.J. Green,Amari Cooper,22200,51.78,Ladarius Green,3300,10.41,Malcom Floyd,3900,11.22,46900,112.88,1
34,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Antonio Brown,Dez Bryant,Amari Cooper,22700,51.96,Austin Seferian-Jenkins,2800,10.157,Malcom Floyd,3900,11.22,46900,112.807,1
90,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Dez Bryant,A.J. Green,Amari Cooper,22200,51.78,Austin Seferian-Jenkins,2800,10.157,Marques Colston,3400,11.4,45900,112.807,1
88,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Dez Bryant,A.J. Green,Amari Cooper,22200,51.78,Austin Seferian-Jenkins,2800,10.157,Malcom Floyd,3900,11.22,46400,112.627,1
67,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Dez Bryant,A.J. Green,Amari Cooper,22200,51.78,Delanie Walker,4200,10.98,C.J. Spiller,3100,10.2286,47000,112.4586,1
71,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Dez Bryant,A.J. Green,Amari Cooper,22200,51.78,Delanie Walker,4200,10.98,Austin Seferian-Jenkins,2800,10.157,46700,112.387,1
85,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Dez Bryant,A.J. Green,Amari Cooper,22200,51.78,Austin Seferian-Jenkins,2800,10.157,Delanie Walker,4200,10.98,46700,112.387,1
5,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Antonio Brown,Dez Bryant,A.J. Green,23600,52.5,Austin Seferian-Jenkins,2800,10.157,C.J. Spiller,3100,10.2286,47000,112.3556,1
70,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Dez Bryant,A.J. Green,Amari Cooper,22200,51.78,Delanie Walker,4200,10.98,Richard Rodgers,3000,10.04,46900,112.27,1
9,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Antonio Brown,Dez Bryant,A.J. Green,23600,52.5,Austin Seferian-Jenkins,2800,10.157,Richard Rodgers,3000,10.04,46900,112.167,1
50,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Antonio Brown,Dez Bryant,Amari Cooper,22700,51.96,Owen Daniels,2600,9.26,Marques Colston,3400,11.4,46200,112.09,1
27,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Antonio Brown,Dez Bryant,Amari Cooper,22700,51.96,Ladarius Green,3300,10.41,C.J. Spiller,3100,10.2286,46600,112.0686,1
31,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Antonio Brown,Dez Bryant,Amari Cooper,22700,51.96,Ladarius Green,3300,10.41,Austin Seferian-Jenkins,2800,10.157,46300,111.997,1
37,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Antonio Brown,Dez Bryant,Amari Cooper,22700,51.96,Austin Seferian-Jenkins,2800,10.157,Ladarius Green,3300,10.41,46300,111.997,1
69,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Dez Bryant,A.J. Green,Amari Cooper,22200,51.78,Delanie Walker,4200,10.98,Riley Cooper,3000,9.7,46900,111.93,1
75,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Dez Bryant,A.J. Green,Amari Cooper,22200,51.78,Ladarius Green,3300,10.41,Dwayne Harris,3800,10.26,46800,111.92,1
48,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Antonio Brown,Dez Bryant,Amari Cooper,22700,51.96,Owen Daniels,2600,9.26,Malcom Floyd,3900,11.22,46700,111.91,1
103,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Dez Bryant,A.J. Green,Amari Cooper,22200,51.78,Owen Daniels,2600,9.26,Marques Colston,3400,11.4,45700,111.91,1
79,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Dez Bryant,A.J. Green,Amari Cooper,22200,51.78,Ladarius Green,3300,10.41,C.J. Spiller,3100,10.2286,46100,111.8886,1
30,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Antonio Brown,Dez Bryant,Amari Cooper,22700,51.96,Ladarius Green,3300,10.41,Richard Rodgers,3000,10.04,46500,111.88,1
35,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Antonio Brown,Dez Bryant,Amari Cooper,22700,51.96,Austin Seferian-Jenkins,2800,10.157,Dwayne Harris,3800,10.26,46800,111.847,1
7,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Antonio Brown,Dez Bryant,A.J. Green,23600,52.5,Austin Seferian-Jenkins,2800,10.157,Riley Cooper,3000,9.7,46900,111.827,1
83,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Dez Bryant,A.J. Green,Amari Cooper,22200,51.78,Ladarius Green,3300,10.41,Austin Seferian-Jenkins,2800,10.157,45800,111.817,1
91,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Dez Bryant,A.J. Green,Amari Cooper,22200,51.78,Austin Seferian-Jenkins,2800,10.157,Ladarius Green,3300,10.41,45800,111.817,1
39,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Antonio Brown,Dez Bryant,Amari Cooper,22700,51.96,Austin Seferian-Jenkins,2800,10.157,C.J. Spiller,3100,10.2286,46100,111.8156,1
68,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Dez Bryant,A.J. Green,Amari Cooper,22200,51.78,Delanie Walker,4200,10.98,Harry Douglas,3000,9.57,46900,111.8,1
101,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Dez Bryant,A.J. Green,Amari Cooper,22200,51.78,Owen Daniels,2600,9.26,Malcom Floyd,3900,11.22,46200,111.73,1
82,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Dez Bryant,A.J. Green,Amari Cooper,22200,51.78,Ladarius Green,3300,10.41,Richard Rodgers,3000,10.04,46000,111.7,1
6,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Antonio Brown,Dez Bryant,A.J. Green,23600,52.5,Austin Seferian-Jenkins,2800,10.157,Harry Douglas,3000,9.57,46900,111.697,1
23,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Antonio Brown,Dez Bryant,Amari Cooper,22700,51.96,Delanie Walker,4200,10.98,Owen Daniels,2600,9.26,47000,111.67,1
45,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Antonio Brown,Dez Bryant,Amari Cooper,22700,51.96,Owen Daniels,2600,9.26,Delanie Walker,4200,10.98,47000,111.67,1
89,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Dez Bryant,A.J. Green,Amari Cooper,22200,51.78,Austin Seferian-Jenkins,2800,10.157,Dwayne Harris,3800,10.26,46300,111.667,1
1,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Antonio Brown,Dez Bryant,A.J. Green,23600,52.5,Ladarius Green,3300,10.41,Owen Daniels,2600,9.26,47000,111.64,1
13,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Antonio Brown,Dez Bryant,A.J. Green,23600,52.5,Owen Daniels,2600,9.26,Ladarius Green,3300,10.41,47000,111.64,1
92,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Dez Bryant,A.J. Green,Amari Cooper,22200,51.78,Austin Seferian-Jenkins,2800,10.157,C.J. Spiller,3100,10.2286,45600,111.6356,1
42,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Antonio Brown,Dez Bryant,Amari Cooper,22700,51.96,Austin Seferian-Jenkins,2800,10.157,Richard Rodgers,3000,10.04,46000,111.627,1
111,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Dez Bryant,A.J. Green,Mike Wallace,19600,48.26,Austin Seferian-Jenkins,2800,10.157,T.Y. Hilton,6900,13.7,46800,111.587,1
29,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Antonio Brown,Dez Bryant,Amari Cooper,22700,51.96,Ladarius Green,3300,10.41,Riley Cooper,3000,9.7,46500,111.54,1
72,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Dez Bryant,A.J. Green,Amari Cooper,22200,51.78,Delanie Walker,4200,10.98,Owen Daniels,2600,9.26,46500,111.49,1
98,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Dez Bryant,A.J. Green,Amari Cooper,22200,51.78,Owen Daniels,2600,9.26,Delanie Walker,4200,10.98,46500,111.49,1
15,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Antonio Brown,Dez Bryant,A.J. Green,23600,52.5,Owen Daniels,2600,9.26,C.J. Spiller,3100,10.2286,46800,111.4586,1
95,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Dez Bryant,A.J. Green,Amari Cooper,22200,51.78,Austin Seferian-Jenkins,2800,10.157,Richard Rodgers,3000,10.04,45500,111.447,1
28,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Antonio Brown,Dez Bryant,Amari Cooper,22700,51.96,Ladarius Green,3300,10.41,Harry Douglas,3000,9.57,46500,111.41,1
12,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Antonio Brown,Dez Bryant,A.J. Green,23600,52.5,Austin Seferian-Jenkins,2800,10.157,Owen Daniels,2600,9.26,46500,111.387,1
20,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Antonio Brown,Dez Bryant,A.J. Green,23600,52.5,Owen Daniels,2600,9.26,Austin Seferian-Jenkins,2800,10.157,46500,111.387,1
81,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Dez Bryant,A.J. Green,Amari Cooper,22200,51.78,Ladarius Green,3300,10.41,Riley Cooper,3000,9.7,46000,111.36,1
118,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Dez Bryant,T.Y. Hilton,Amari Cooper,21500,48.82,Ladarius Green,3300,10.41,Mike Wallace,4100,12.6,46400,111.3,1
123,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Dez Bryant,Amari Cooper,Mike Wallace,18700,47.72,Ladarius Green,3300,10.41,T.Y. Hilton,6900,13.7,46400,111.3,1
41,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Antonio Brown,Dez Bryant,Amari Cooper,22700,51.96,Austin Seferian-Jenkins,2800,10.157,Riley Cooper,3000,9.7,46000,111.287,1
18,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Antonio Brown,Dez Bryant,A.J. Green,23600,52.5,Owen Daniels,2600,9.26,Richard Rodgers,3000,10.04,46700,111.27,1
80,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Dez Bryant,A.J. Green,Amari Cooper,22200,51.78,Ladarius Green,3300,10.41,Harry Douglas,3000,9.57,46000,111.23,1
40,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Antonio Brown,Dez Bryant,Amari Cooper,22700,51.96,Austin Seferian-Jenkins,2800,10.157,Harry Douglas,3000,9.57,46000,111.157,1
94,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Dez Bryant,A.J. Green,Amari Cooper,22200,51.78,Austin Seferian-Jenkins,2800,10.157,Riley Cooper,3000,9.7,45500,111.107,1
32,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Antonio Brown,Dez Bryant,Amari Cooper,22700,51.96,Ladarius Green,3300,10.41,Owen Daniels,2600,9.26,46100,111.1,1
51,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Antonio Brown,Dez Bryant,Amari Cooper,22700,51.96,Owen Daniels,2600,9.26,Ladarius Green,3300,10.41,46100,111.1,1
120,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Dez Bryant,T.Y. Hilton,Amari Cooper,21500,48.82,Austin Seferian-Jenkins,2800,10.157,Mike Wallace,4100,12.6,45900,111.047,1
93,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Dez Bryant,A.J. Green,Amari Cooper,22200,51.78,Austin Seferian-Jenkins,2800,10.157,Harry Douglas,3000,9.57,45500,110.977,1
26,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Antonio Brown,Dez Bryant,Amari Cooper,22700,51.96,Ladarius Green,3300,10.41,Stevie Johnson,3200,9.13,46700,110.97,1
49,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Antonio Brown,Dez Bryant,Amari Cooper,22700,51.96,Owen Daniels,2600,9.26,Dwayne Harris,3800,10.26,46600,110.95,1
17,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Antonio Brown,Dez Bryant,A.J. Green,23600,52.5,Owen Daniels,2600,9.26,Riley Cooper,3000,9.7,46700,110.93,1
84,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Dez Bryant,A.J. Green,Amari Cooper,22200,51.78,Ladarius Green,3300,10.41,Owen Daniels,2600,9.26,45600,110.92,1
104,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Dez Bryant,A.J. Green,Amari Cooper,22200,51.78,Owen Daniels,2600,9.26,Ladarius Green,3300,10.41,45600,110.92,1
52,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Antonio Brown,Dez Bryant,Amari Cooper,22700,51.96,Owen Daniels,2600,9.26,C.J. Spiller,3100,10.2286,45900,110.9186,1
44,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Antonio Brown,Dez Bryant,Amari Cooper,22700,51.96,Austin Seferian-Jenkins,2800,10.157,Owen Daniels,2600,9.26,45600,110.847,1
55,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Antonio Brown,Dez Bryant,Amari Cooper,22700,51.96,Owen Daniels,2600,9.26,Austin Seferian-Jenkins,2800,10.157,45600,110.847,1
16,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Antonio Brown,Dez Bryant,A.J. Green,23600,52.5,Owen Daniels,2600,9.26,Harry Douglas,3000,9.57,46700,110.8,1
78,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Dez Bryant,A.J. Green,Amari Cooper,22200,51.78,Ladarius Green,3300,10.41,Stevie Johnson,3200,9.13,46200,110.79,1
102,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Dez Bryant,A.J. Green,Amari Cooper,22200,51.78,Owen Daniels,2600,9.26,Dwayne Harris,3800,10.26,46100,110.77,1
105,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Dez Bryant,A.J. Green,Amari Cooper,22200,51.78,Owen Daniels,2600,9.26,C.J. Spiller,3100,10.2286,45400,110.7386,1
54,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Antonio Brown,Dez Bryant,Amari Cooper,22700,51.96,Owen Daniels,2600,9.26,Richard Rodgers,3000,10.04,45800,110.73,1
38,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Antonio Brown,Dez Bryant,Amari Cooper,22700,51.96,Austin Seferian-Jenkins,2800,10.157,Stevie Johnson,3200,9.13,46200,110.717,1
114,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Dez Bryant,A.J. Green,Mike Wallace,19600,48.26,Owen Daniels,2600,9.26,T.Y. Hilton,6900,13.7,46600,110.69,1
117,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Dez Bryant,T.Y. Hilton,Amari Cooper,21500,48.82,Delanie Walker,4200,10.98,Marques Colston,3400,11.4,46600,110.67,1
97,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Dez Bryant,A.J. Green,Amari Cooper,22200,51.78,Austin Seferian-Jenkins,2800,10.157,Owen Daniels,2600,9.26,45100,110.667,1
106,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Dez Bryant,A.J. Green,Amari Cooper,22200,51.78,Owen Daniels,2600,9.26,Austin Seferian-Jenkins,2800,10.157,45100,110.667,1
56,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Antonio Brown,Dez Bryant,Amari Cooper,22700,51.96,Clay Harbor,2500,6.53,Mike Wallace,4100,12.6,46800,110.56,1
66,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Antonio Brown,Dez Bryant,Mike Wallace,20100,48.44,Clay Harbor,2500,6.53,Amari Cooper,6700,16.12,46800,110.56,1
53,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Antonio Brown,Dez Bryant,Amari Cooper,22700,51.96,Owen Daniels,2600,9.26,Riley Cooper,3000,9.7,45800,110.39,1
14,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Antonio Brown,Dez Bryant,A.J. Green,23600,52.5,Owen Daniels,2600,9.26,Stevie Johnson,3200,9.13,46900,110.36,1
