Name,Position,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fox,fire,average
Arian Foster,RB,7500,Ten@Hou 01:00PM ET,19.5,Hou,,,,,,,,
Emmanuel Sanders,WR,7500,GB@Den 08:30PM ET,19.117,Den,18,22.6,15.67,20.4,18.79,12.22,14.804,17.49771429
Adrian Peterson,RB,7400,Min@Chi 01:00PM ET,16.517,Min,24,22.4,16.44,24.6,16.48,19.08,18.359,20.19414286
Andrew Luck,QB,7400,Ind@Car 08:30PM ET,22.124,Ind,18.8,19.66,17.03,20.66,19.352,15.46,20.5076,18.78137143
Matt Forte,RB,7300,Min@Chi 01:00PM ET,18.8,Chi,21.5,23.9,19.15,24.4,20.01,18.26,15.7922,20.43031429
Matt Ryan,QB,7100,TB@Atl 01:00PM ET,16.854,Atl,19.7,23.22,22.88,24.22,20.344,25.148,23.6966,22.74408571
Marshawn Lynch,RB,7100,Sea@Dal 04:25PM ET,12.7,Sea,22.5,14.9,17.67,15.6,15.43,17.95,16.506,17.22228571
Carson Palmer,QB,7000,Ari@Cle 01:00PM ET,21.811,Ari,19,19.24,16.34,20.24,18.018,16.108,19.7686,18.3878
Randall Cobb,WR,7000,GB@Den 08:30PM ET,15.533,GB,17.5,24.7,14.06,22.7,16.92,14.82,16.296,18.14228571
T.Y. Hilton,WR,6900,Ind@Car 08:30PM ET,16.943,Ind,18.5,18.7,14.21,21.1,16.17,11.94,15.358,16.56828571
Cam Newton,QB,6800,Ind@Car 08:30PM ET,21.75,Car,22,24.78,21.58,25.78,21.044,20.53,21.4908,22.45782857
Mike Evans,WR,6800,TB@Atl 01:00PM ET,13.36,TB,22.5,25.2,16.73,22.6,16.53,17.05,18.01,19.80285714
Drew Brees,QB,6700,NYG@NO 01:00PM ET,18.79,NO,22,22.9,21.73,23.9,22.646,22.084,19.4152,22.09645714
Ben Roethlisberger,QB,6700,Cin@Pit 01:00PM ET,20.793,Pit,19.9,18.4,17,19.4,22.428,17.85,17.9296,18.9868
Amari Cooper,WR,6700,NYJ@Oak 04:05PM ET,18.517,Oak,17,29,16.92,27,13.94,12.29,15.176,18.76085714
Eli Manning,QB,6600,NYG@NO 01:00PM ET,16.834,NYG,22.4,17.48,18.04,18.48,18.58,17.41,18.738,18.73257143
Philip Rivers,QB,6600,SD@Bal 01:00PM ET,24.04,SD,28.2,18.8,20.65,19.8,23.974,24.388,24.1152,22.84674286
Greg Olsen,TE,6500,Ind@Car 08:30PM ET,15.817,Car,20,15.8,14.5,14.9,13.98,11.01,12.953,14.73471429
Peyton Manning,QB,6400,GB@Den 08:30PM ET,13.593,Den,17.2,16.78,16.12,17.78,17.476,13.548,13.8514,16.10791429
Mark Ingram,RB,6400,NYG@NO 01:00PM ET,18.5,NO,20,12.7,15.1,14,15.28,15.97,13.689,15.24842857
Dion Lewis,RB,6400,Mia@NE 08:25PM ET,17.74,NE,13,16.3,14.71,18.7,14.2,11.25,13.928,14.584
Alshon Jeffery,WR,6400,Min@Chi 01:00PM ET,22.25,Chi,22,22.8,15.52,20.5,16.49,15.53,14.928,18.25257143
Russell Wilson,QB,6300,Sea@Dal 04:25PM ET,16.974,Sea,20.6,25.2,20.74,26.2,17.602,20.658,19.709,21.52985714
Todd Gurley,RB,6300,SF@StL 01:00PM ET,19.425,StL,23,17.6,16,17.1,19.59,16.09,16.781,18.023
Jeremy Maclin,WR,6200,Det@KC 09:30AM ET,17.317,KC,20,18.6,15.7,17.3,17.49,17.57,16.3668,17.57525714
Eddie Lacy,RB,6200,GB@Den 08:30PM ET,8.217,GB,5,17,12.74,16.9,12.37,14.52,11.866,12.91371429
Jarvis Landry,WR,6200,Mia@NE 08:25PM ET,18.7,Mia,20.5,17.4,13.2,16.8,15.99,11.99,16.32,16.02857143
Steve Smith Sr.,WR,6100,SD@Bal 01:00PM ET,21.133,Bal,19.5,15.8,16.78,14.9,13.79,13.7,15.634,15.72914286
Justin Forsett,RB,6100,SD@Bal 01:00PM ET,15.286,Bal,24.5,17.7,16.87,18.7,23.91,20.77,19.857,20.32957143
Andy Dalton,QB,6000,Cin@Pit 01:00PM ET,24.957,Cin,24,17.68,17.69,18.68,18.258,17.836,21.1726,19.33094286
Chris Ivory,RB,6000,NYJ@Oak 04:05PM ET,20.3,NYJ,15.5,16.2,12.43,17,15.2,14.05,16.042,15.20314286
Latavius Murray,RB,5900,NYJ@Oak 04:05PM ET,15.167,Oak,17.5,12.8,13.24,13,11.4,11.67,14.601,13.45871429
Matthew Stafford,QB,5800,Det@KC 09:30AM ET,17.463,Det,18.9,14.2,17.83,15.2,17.74,18.728,18.0242,17.23174286
John Brown,WR,5800,Ari@Cle 01:00PM ET,16.357,Ari,18,14.4,8.38,13.2,13.06,,14.681,13.62016667
James Jones,WR,5700,GB@Den 08:30PM ET,17.067,GB,17.5,18.6,11.12,17.3,11.02,14.05,14.047,14.80528571
Ryan Tannehill,QB,5600,Mia@NE 08:25PM ET,19.753,Mia,18.6,18.6,15.98,19.6,18.3,15.378,17.3766,17.69065714
Joe Flacco,QB,5500,SD@Bal 01:00PM ET,17.811,Bal,13.1,17.98,19.99,18.98,17.4,16.21,16.4206,17.15437143
Doug Martin,RB,5500,TB@Atl 01:00PM ET,18.833,TB,18.5,13.6,13.25,13.7,14.38,14.13,16.145,14.815
Donte Moncrief,WR,5500,Ind@Car 08:30PM ET,15.014,Ind,17.5,15.5,10.19,14.9,14.36,9.4,12.285,13.44785714
Marcus Mariota,QB,5400,Ten@Hou 01:00PM ET,17.352,Ten,,,,,,,,
Brandin Cooks,WR,5400,NYG@NO 01:00PM ET,12.629,NO,19.5,18.8,13.84,17.8,13.7,13.62,15.069,16.047
Brian Hoyer,QB,5300,Ten@Hou 01:00PM ET,19.748,Hou,18.7,16.72,16.32,17.72,16.744,13.386,16.9794,16.65277143
Eric Decker,WR,5300,NYJ@Oak 04:05PM ET,16.06,NYJ,19,19.8,14,17.9,13.73,14.37,13.084,15.98342857
Travis Benjamin,WR,5300,Ari@Cle 01:00PM ET,18.071,Cle,13,17.4,10.43,15.8,11.5,12.67,13.371,13.453
Derek Carr,QB,5300,NYJ@Oak 04:05PM ET,17.767,Oak,17.3,11.76,15.24,12.76,15.998,15.05,16.9598,15.00968571
Tyler Eifert,TE,5300,Cin@Pit 01:00PM ET,16.867,Cin,19.5,21.4,14.37,19.7,12.91,10.25,10.984,15.58771429
Martavis Bryant,WR,5300,Cin@Pit 01:00PM ET,25.15,Pit,19,18.7,12.1,17.5,13.73,10.11,10.465,14.515
Jeremy Hill,RB,5300,Cin@Pit 01:00PM ET,10.817,Cin,5.5,11.9,10.55,11.3,9.47,7.18,13.121,9.860142857
Jay Cutler,QB,5200,Min@Chi 01:00PM ET,17.088,Chi,19.4,16.88,15.97,17.88,15.586,18.486,17.0594,17.32305714
Ryan Fitzpatrick,QB,5200,NYJ@Oak 04:05PM ET,18.68,NYJ,20.8,16.28,18.27,17.28,18.266,14.646,19.3392,17.84017143
Jason Witten,TE,5200,Sea@Dal 04:25PM ET,13.567,Dal,15,16.8,9.29,16.4,10.26,13.54,10.164,13.06485714
Jameis Winston,QB,5200,TB@Atl 01:00PM ET,16.923,TB,14.3,14.6,15.95,16.6,15.996,17.174,16.125,15.82071429
Jimmy Graham,TE,5100,Sea@Dal 04:25PM ET,11.929,Sea,16.5,20.6,14.41,19.3,10.89,10.46,11.268,14.77542857
Nick Foles,QB,5100,SF@StL 01:00PM ET,11.643,StL,12.3,18.38,15.31,19.38,15.128,18.912,11.921,15.90442857
Landry Jones,QB,5100,Cin@Pit 01:00PM ET,11.89,Pit,,,,,,,1.4296,1.4296
Kendall Wright,WR,5100,Ten@Hou 01:00PM ET,13.1,Ten,19,9.9,10.92,9.1,12.57,14,12.364,12.55057143
Zach Mettenberger,QB,5100,Ten@Hou 01:00PM ET,3.967,Ten,17.8,,13.01,,17.73,,14.4832,15.7558
Teddy Bridgewater,QB,5100,Min@Chi 01:00PM ET,13.677,Min,18.2,17.52,16.98,18.52,15.35,16.754,17.2616,17.22651429
Matt Hasselbeck,QB,5000,Ind@Car 08:30PM ET,15.8,Ind,,,,,,,,
Mike Vick,QB,5000,Cin@Pit 01:00PM ET,6.348,Pit,,,,,,,,
Josh McCown,QB,5000,Ari@Cle 01:00PM ET,19.54,Cle,14,17.9,15.44,18.9,16.81,13.456,13.504,15.71571429
Matt Cassel,QB,5000,Sea@Dal 04:25PM ET,5.24,Dal,11.8,16.08,9.79,15.08,14.694,17.408,13.2324,14.01205714
Charlie Whitehurst,QB,5000,Ten@Hou 01:00PM ET,0,Ten,,,,,,,,
Tarvaris Jackson,QB,5000,Sea@Dal 04:25PM ET,0,Sea,,,,,,,,
Derek Anderson,QB,5000,Ind@Car 08:30PM ET,0,Car,,,,,,,1.0468,1.0468
Dan Orlovsky,QB,5000,Det@KC 09:30AM ET,5.32,Det,,,,,,,,
Kellen Clemens,QB,5000,SD@Bal 01:00PM ET,6.52,SD,,,,,,,,
Shaun Hill,QB,5000,Min@Chi 01:00PM ET,0,Min,,,,,,,1.2438,1.2438
Matt Moore,QB,5000,Mia@NE 08:25PM ET,0.36,Mia,,,,,,,,
Drew Stanton,QB,5000,Ari@Cle 01:00PM ET,-0.1,Ari,,,,,,,,
Alex Smith,QB,5000,Det@KC 09:30AM ET,16.48,KC,20.6,17.06,16.93,18.06,18.596,19.558,17.2672,18.29588571
Matt Schaub,QB,5000,SD@Bal 01:00PM ET,0,Bal,,,,,,,,
Luke McCown,QB,5000,NYG@NO 01:00PM ET,2.2,NO,,,,,,,,
Joe Webb,QB,5000,Ind@Car 08:30PM ET,0,Car,,,,,,,,
Chase Daniel,QB,5000,Det@KC 09:30AM ET,0,KC,,,,,,,,
Colin Kaepernick,QB,5000,SF@StL 01:00PM ET,16.131,SF,13.4,12.6,15.54,14.6,15.156,20.418,14.9664,15.24005714
Scott Tolzien,QB,5000,GB@Den 08:30PM ET,0,GB,,,,,,,,
Case Keenum,QB,5000,SF@StL 01:00PM ET,0,StL,,,,,,,1.1548,1.1548
Jimmy Clausen,QB,5000,Min@Chi 01:00PM ET,3.58,Chi,,,,,,,,
Ryan Mallett,QB,5000,Ten@Hou 01:00PM ET,7.983,Hou,,,,,,,,
Kellen Moore,QB,5000,Sea@Dal 04:25PM ET,0,Dal,,,,,,,,
Brandon Weeden,QB,5000,Sea@Dal 04:25PM ET,9.63,Dal,,,,,,,,
Golden Tate,WR,5000,Det@KC 09:30AM ET,10.314,Det,10,10,11.27,9.1,12.8,14.57,11.844,11.36914286
Austin Davis,QB,5000,Ari@Cle 01:00PM ET,0,Cle,,,,,,,,
Travis Kelce,TE,5000,Det@KC 09:30AM ET,14.129,KC,18.5,16.6,13.77,16.3,12.56,13.13,12.55,14.77285714
Blaine Gabbert,QB,5000,SF@StL 01:00PM ET,0,SF,,,,,,,,
Sean Renfree,QB,5000,TB@Atl 01:00PM ET,-0.4,Atl,,,,,,,,
Mike Glennon,QB,5000,TB@Atl 01:00PM ET,0,TB,,,,,,,1.134,1.134
Ryan Nassib,QB,5000,NYG@NO 01:00PM ET,0,NYG,,,,,,,,
Ryan Griffin,QB,5000,TB@Atl 01:00PM ET,0,TB,,,,,,,,
Matt McGloin,QB,5000,NYJ@Oak 04:05PM ET,11.68,Oak,,,,,,,,
Matt Barkley,QB,5000,Ari@Cle 01:00PM ET,0,Ari,,,,,,,,
Aaron Murray,QB,5000,Det@KC 09:30AM ET,0,KC,,,,,,,,
Brock Osweiler,QB,5000,GB@Den 08:30PM ET,0,Den,,,,,,,,
Bryce Petty,QB,5000,NYJ@Oak 04:05PM ET,0,NYJ,,,,,,,,
AJ McCarron,QB,5000,Cin@Pit 01:00PM ET,0,Cin,,,,,,,,
Geno Smith,QB,5000,NYJ@Oak 04:05PM ET,0,NYJ,,,,,,,1.06,1.06
Garrett Grayson,QB,5000,NYG@NO 01:00PM ET,0,NO,,,,,,,,
Trevor Siemian,QB,5000,GB@Den 08:30PM ET,0,Den,,,,,,,,
Jimmy Garoppolo,QB,5000,Mia@NE 08:25PM ET,-0.2,NE,,,,,,,1.0628,1.0628
Tyler Murphy,QB,5000,Cin@Pit 01:00PM ET,1.3,Pit,,,,,,,,
Sean Mannion,QB,5000,SF@StL 01:00PM ET,0,StL,,,,,,,,
Brett Hundley,QB,5000,GB@Den 08:30PM ET,0,GB,,,,,,,,
Johnny Manziel,QB,5000,Ari@Cle 01:00PM ET,9.447,Cle,,,,,,,2.1156,2.1156
Taylor Heinicke,QB,5000,Min@Chi 01:00PM ET,0,Min,,,,,,,,
Vincent Jackson,WR,4900,TB@Atl 01:00PM ET,11.65,TB,,16.8,,15.4,,,,16.1
Martellus Bennett,TE,4900,Min@Chi 01:00PM ET,12.533,Chi,18.5,19.2,12.06,18.6,12.32,12.42,11.244,14.90628571
Frank Gore,RB,4800,Ind@Car 08:30PM ET,12.286,Ind,10,12.2,10.38,12.3,13.06,12.08,13.973,11.999
Antonio Gates,TE,4800,SD@Bal 01:00PM ET,24.35,SD,,14.2,,14.1,,,5.314,11.20466667
Giovani Bernard,RB,4800,Cin@Pit 01:00PM ET,14.6,Cin,17.5,16.9,12.99,17,12.27,15.58,11.596,14.83371429
Stefon Diggs,WR,4800,Min@Chi 01:00PM ET,21.433,Min,23.5,21,11.28,19.5,11.39,9.3,12.013,15.42614286
Gary Barnidge,TE,4700,Ari@Cle 01:00PM ET,17.629,Cle,18,19.4,11,19.7,11.54,11.04,9.877,14.36528571
Michael Crabtree,WR,4700,NYJ@Oak 04:05PM ET,14.35,Oak,18.5,16.4,9.66,15.2,15.08,13.53,9.499,13.98128571
LeGarrette Blount,RB,4700,Mia@NE 08:25PM ET,11.82,NE,4.5,11.3,12.13,12.1,11.5,12.31,11.069,10.70128571
Lamar Miller,RB,4700,Mia@NE 08:25PM ET,16.033,Mia,21.5,7.4,13.49,8.3,14.28,12.8,15.862,13.376
Charcandrick West,RB,4700,Det@KC 09:30AM ET,5.071,KC,14.5,8,11.42,7.6,14.16,12.4,11.079,11.30842857
Chris Johnson,RB,4600,Ari@Cle 01:00PM ET,13.471,Ari,16.5,6.9,11.98,7.7,13.32,17.02,16.488,12.844
Ronnie Hillman,RB,4600,GB@Den 08:30PM ET,9.667,Den,19,15.7,9.6,15.4,10.61,12.64,9.704,13.23628571
Tavon Austin,WR,4600,SF@StL 01:00PM ET,13.45,StL,10,7.9,8.62,8.2,10.32,9.64,8.998,9.096857143
Danny Woodhead,RB,4500,SD@Bal 01:00PM ET,17.214,SD,11.5,19.8,13.68,18.1,13.73,11.1,12.357,14.32385714
Willie Snead,WR,4500,NYG@NO 01:00PM ET,11.871,NO,19,8.2,11.78,6.1,11.35,10.02,10.591,11.00585714
Anquan Boldin,WR,4400,SF@StL 01:00PM ET,12.314,SF,13,17.4,11.06,16.7,13.49,15.01,10.046,13.81514286
Carlos Hyde,RB,4400,SF@StL 01:00PM ET,12.043,SF,6.5,,,,,,,6.5
Victor Cruz,WR,4300,NYG@NO 01:00PM ET,0,NYG,,5,12.84,,,,,8.92
James Starks,RB,4300,GB@Den 08:30PM ET,10.183,GB,17.5,8.5,6.93,9.6,6.34,6.51,8.166,9.078
Andre Ellington,RB,4300,Ari@Cle 01:00PM ET,10.3,Ari,3,7.4,8.09,7.8,8.41,8.54,6.386,7.089428571
Joseph Randle,RB,4300,Sea@Dal 04:25PM ET,12.35,Dal,,,,,,,,
Rishard Matthews,WR,4300,Mia@NE 08:25PM ET,16.633,Mia,19,15.6,9.23,14.8,11,10.4,10.412,12.92028571
C.J. Anderson,RB,4300,GB@Den 08:30PM ET,6.833,Den,7,5,10.43,5.1,8.99,7.37,6.212,7.157428571
Mike Wallace,WR,4200,Min@Chi 01:00PM ET,10.2,Min,16.5,20,12.48,18.1,11.11,12.49,9.689,14.33842857
Kamar Aiken,WR,4200,SD@Bal 01:00PM ET,8.157,Bal,6.5,0.6,7.95,3.3,8.55,11.06,10.534,6.927714286
Marvin Jones,WR,4200,Cin@Pit 01:00PM ET,12.5,Cin,10,18,10.47,17,10.59,10.14,9.4872,12.24102857
Rueben Randle,WR,4200,NYG@NO 01:00PM ET,10.557,NYG,9.5,16,8.49,15,11.34,8.64,10.242,11.316
Breshad Perriman,WR,4200,SD@Bal 01:00PM ET,0,Bal,,,,,,,,
Duke Johnson Jr.,RB,4200,Ari@Cle 01:00PM ET,11.557,Cle,9.5,9.3,10.24,9.2,11.88,9.57,10.877,10.081
Delanie Walker,TE,4100,Ten@Hou 01:00PM ET,12.98,Ten,18.5,19.2,7.43,17.6,12.88,9.16,9.926,13.528
Jonathan Stewart,RB,4100,Ind@Car 08:30PM ET,11.05,Car,15,9.2,11.44,9.8,13.15,14.44,11.905,12.13357143
Torrey Smith,WR,4100,SF@StL 01:00PM ET,9.043,SF,7.5,6.2,9.14,5.1,7.24,10.21,8.528,7.702571429
Shane Vereen,RB,4100,NYG@NO 01:00PM ET,9.386,NYG,10,14.1,10.88,14.3,10.3,7.83,8.633,10.86328571
Terrance Williams,WR,4100,Sea@Dal 04:25PM ET,9.883,Dal,12.5,6.8,8.19,5.4,7.82,12.92,8.827,8.922428571
Cardinals ,DST,4000,Ari@Cle 01:00PM ET,10.714,Ari,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3
Andre Johnson,WR,4000,Ind@Car 08:30PM ET,7.529,Ind,4.5,5,9.29,4.5,8.75,9.15,5.003,6.599
Marquess Wilson,WR,4000,Min@Chi 01:00PM ET,8.633,Chi,6.5,4.2,7.54,4.1,4.51,2.22,7.549,5.231285714
Melvin Gordon,RB,4000,SD@Bal 01:00PM ET,7.343,SD,5,4.1,6.89,4.6,7.73,10.92,8.961,6.885857143
Roddy White,WR,3900,TB@Atl 01:00PM ET,5.514,Atl,17,4.4,10.63,4.2,8.09,12.56,5.205,8.869285714
Rashad Jennings,RB,3900,NYG@NO 01:00PM ET,9.2,NYG,9.5,3.8,10.56,4.1,8.72,10.04,10.59,8.187142857
Ameer Abdullah,RB,3900,Det@KC 09:30AM ET,8.214,Det,6.5,5.1,9.9,5,9.34,11.83,9.077,8.106714286
Davante Adams,WR,3900,GB@Den 08:30PM ET,6.067,GB,6.5,14.8,7.93,14.4,10.73,10.27,7.041,10.23871429
Darren McFadden,RB,3800,Sea@Dal 04:25PM ET,11.383,Dal,17,13.5,11.92,12.9,14.97,14.13,16.283,14.38614286
Seahawks ,DST,3700,Sea@Dal 04:25PM ET,12,Sea,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6
Nate Washington,WR,3600,Ten@Hou 01:00PM ET,14.74,Hou,11.5,4.8,11.74,4.4,12.16,12.42,10.422,9.634571429
Danny Amendola,WR,3600,Mia@NE 08:25PM ET,11.533,NE,16.5,7.2,9.02,7.6,8.27,10.67,6.236,9.356571429
Kenny Britt,WR,3600,SF@StL 01:00PM ET,7.233,StL,7.5,7.3,7.73,5.7,7.29,13.82,8.137,8.211
Leonard Hankerson,WR,3600,TB@Atl 01:00PM ET,9.443,Atl,,,,,,,,
Charles Sims,RB,3600,TB@Atl 01:00PM ET,11.067,TB,9.5,7.5,11.59,7.7,10.86,4.26,7.847,8.465285714
Orleans Darkwa,RB,3600,NYG@NO 01:00PM ET,1.543,NYG,,1.8,5.45,1.7,4.57,0.18,8.189,3.648166667
Tevin Coleman,RB,3600,TB@Atl 01:00PM ET,4.38,Atl,4,2.2,5.28,3,5.52,3.35,4.086,3.919428571
Benjamin Watson,TE,3500,NYG@NO 01:00PM ET,10.786,NO,,3.2,7.24,3.6,10.02,10.25,9.448,7.293
Eddie Royal,WR,3500,Min@Chi 01:00PM ET,9.18,Chi,6.5,13.4,9.03,12.7,9.23,10.95,7.041,9.835857143
Malcom Floyd,WR,3500,SD@Bal 01:00PM ET,7.814,SD,16,9.2,8.22,7.6,10.85,10.37,8.279,10.07414286
Doug Baldwin,WR,3500,Sea@Dal 04:25PM ET,10.143,Sea,17,8.5,12.15,8.3,9.24,11.14,8.766,10.728
Michael Floyd,WR,3500,Ari@Cle 01:00PM ET,7.043,Ari,10.5,7.8,9.15,7.9,9.72,10.91,9.494,9.353428571
Knile Davis,RB,3500,Det@KC 09:30AM ET,2.086,KC,2,3.5,6.83,3.7,3.65,4.49,4.126,4.042285714
Alfred Blue,RB,3500,Ten@Hou 01:00PM ET,5.371,Hou,8.5,6.1,9.17,6.3,8.14,16.77,10.9202,9.414314286
David Johnson,RB,3500,Ari@Cle 01:00PM ET,10.557,Ari,6.5,7.4,5.66,7.6,5.72,3.96,7.5238,6.337685714
Javorius Allen,RB,3500,SD@Bal 01:00PM ET,3.229,Bal,2,4.1,6.86,4.1,6.84,6.24,6.365,5.215
Thomas Rawls,RB,3500,Sea@Dal 04:25PM ET,7.486,Sea,2.5,3.9,6.42,3.8,2.51,,7.123,4.3755
Falcons ,DST,3400,TB@Atl 01:00PM ET,7.714,Atl,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2
Ted Ginn Jr.,WR,3400,Ind@Car 08:30PM ET,11.433,Car,9.5,9.4,12.8,7.7,10.43,8.17,10.144,9.734857143
Dexter McCluster,RB,3400,Ten@Hou 01:00PM ET,8.533,Ten,7.5,8.7,7.38,10,10.22,9.47,5.8548,8.4464
Jermaine Kearse,WR,3400,Sea@Dal 04:25PM ET,8.686,Sea,6,4.9,8.46,4.5,7.62,9.19,8.996,7.095142857
Theo Riddick,RB,3400,Det@KC 09:30AM ET,11.914,Det,9.5,5.4,10.1,5.8,9.19,5.87,9.009,7.838428571
Isaiah Crowell,RB,3400,Ari@Cle 01:00PM ET,8.757,Cle,4.5,6.5,8.04,6.7,6.13,8.12,5.27,6.465714286
Packers ,DST,3300,GB@Den 08:30PM ET,10.5,GB,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
Dwayne Harris,WR,3300,NYG@NO 01:00PM ET,6.643,NYG,4,2.8,4.03,2.4,7.22,3.09,4.817,4.051
Jordan Cameron,TE,3300,Mia@NE 08:25PM ET,7.55,Mia,9.5,12.2,6.18,11.1,11,9.56,6.923,9.494714286
Larry Donnell,TE,3300,NYG@NO 01:00PM ET,8.586,NYG,8,17.4,6.56,16.7,11.08,7.99,8.0332,10.82331429
Antonio Andrews,RB,3300,Ten@Hou 01:00PM ET,9.175,Ten,14,6.5,8.77,7.1,9.76,5.1,11.112,8.906
Tre Mason,RB,3300,SF@StL 01:00PM ET,2.45,StL,,4.1,3.86,4.4,,,1.172,3.383
Ty Montgomery,WR,3300,GB@Den 08:30PM ET,7,GB,2,7.2,6.33,6.6,,,3.864,5.1988
Bishop Sankey,RB,3300,Ten@Hou 01:00PM ET,7.2,Ten,2.5,1.8,6.72,2.5,3.5,3.69,3.226,3.419428571
Jeff Janis,WR,3300,GB@Den 08:30PM ET,1.65,GB,,1.8,4.86,1.9,2.09,2.23,,2.576
Rams ,DST,3200,SF@StL 01:00PM ET,12.167,StL,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9
Panthers ,DST,3200,Ind@Car 08:30PM ET,10,Car,8,8,8,8,8,8,8,8
Marques Colston,WR,3200,NYG@NO 01:00PM ET,6.833,NO,4.5,17.6,8.46,16.8,8.32,13.46,5.228,10.624
Reggie Bush,RB,3200,SF@StL 01:00PM ET,2.175,SF,5,4.4,13.43,7,12.65,5.59,12.402,8.638857143
Stevie Johnson,WR,3200,SD@Bal 01:00PM ET,11.9,SD,8.5,6,11.35,6,10.91,12.43,8.201,9.055857143
Mohamed Sanu,WR,3200,Cin@Pit 01:00PM ET,7.233,Cin,6.5,9.3,7.04,8.8,7.02,7.29,6.303,7.464714286
Joique Bell,RB,3200,Det@KC 09:30AM ET,5.7,Det,3.5,5.1,5.27,6.2,4.99,7.26,8.888,5.886857143
Texans ,DST,3100,Ten@Hou 01:00PM ET,4.286,Hou,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Vikings ,DST,3100,Min@Chi 01:00PM ET,8.5,Min,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8
Eric Ebron,TE,3100,Det@KC 09:30AM ET,12.96,Det,15,15,10.76,14.5,9.38,9.9,10.044,12.08342857
Dorial Green-Beckham,WR,3100,Ten@Hou 01:00PM ET,4.533,Ten,4.5,5.8,6.38,4.9,7.03,6.65,3.919,5.597
Bengals ,DST,3000,Cin@Pit 01:00PM ET,7,Cin,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7
Patriots ,DST,3000,Mia@NE 08:25PM ET,7.667,NE,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1
Ravens ,DST,3000,SD@Bal 01:00PM ET,5.857,Bal,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
Greg Jennings,WR,3000,Mia@NE 08:25PM ET,3.4,Mia,2.5,6.8,3.37,7.4,3.48,7.14,3.948,4.948285714
Lance Moore,WR,3000,Det@KC 09:30AM ET,7.971,Det,4.5,1.4,4.95,1.7,5.79,7.8,5.022,4.451714286
Jason Avant,WR,3000,Det@KC 09:30AM ET,2.229,KC,2,5,4.3,5.5,1.41,1.67,4.395,3.467857143
DeAngelo Williams,RB,3000,Cin@Pit 01:00PM ET,7.671,Pit,3,3.1,3.11,3.8,1.95,2.78,5.51,3.321428571
