Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
WR,Amari Cooper,6500,Oak@SD 04:05PM ET,16.76,Oak
RB,DeMarco Murray,6400,Phi@Car 08:30PM ET,16.98,Phi
WR,Jeremy Maclin,6400,Pit@KC 01:00PM ET,17.317,KC
WR,Jordan Matthews,6400,Phi@Car 08:30PM ET,13.733,Phi
WR,Mike Evans,6400,TB@Was 01:00PM ET,8.35,TB
WR,Allen Robinson,6400,Buf@Jax 09:30AM ET,18.3,Jax
RB,Mark Ingram,6300,NO@Ind 01:00PM ET,17.283,NO
WR,Steve Smith Sr.,6200,Bal@Ari 08:30PM ET,22.8,Bal
WR,Jarvis Landry,6200,Hou@Mia 01:00PM ET,17.28,Mia
TE,Greg Olsen,6100,Phi@Car 08:30PM ET,17.08,Car
RB,Justin Forsett,6100,Bal@Ari 08:30PM ET,15.6,Bal
QB,Sam Bradford,6100,Phi@Car 08:30PM ET,16.173,Phi
RB,Latavius Murray,6100,Oak@SD 04:05PM ET,15.08,Oak
RB,Chris Ivory,5800,NYJ@NE 01:00PM ET,22.05,NYJ
QB,Joe Flacco,5700,Bal@Ari 08:30PM ET,18.267,Bal
WR,DeSean Jackson,5700,TB@Was 01:00PM ET,0,Was
QB,Matthew Stafford,5700,Min@Det 01:00PM ET,17.25,Det
QB,Ryan Tannehill,5700,Hou@Mia 01:00PM ET,18.188,Mia
RB,LeSean McCoy,5500,Buf@Jax 09:30AM ET,13.325,Buf
WR,John Brown,5500,Bal@Ari 08:30PM ET,16.333,Ari
RB,Joseph Randle,5500,Dal@NYG 04:25PM ET,14.34,Dal
WR,Brandin Cooks,5500,NO@Ind 01:00PM ET,12.383,NO
TE,Jimmy Graham,5400,Sea@SF 08:25PM ET,13.067,Sea
WR,Travis Benjamin,5400,Cle@StL 01:00PM ET,19.8,Cle
QB,Blake Bortles,5400,Buf@Jax 09:30AM ET,21.85,Jax
QB,Marcus Mariota,5400,Atl@Ten 01:00PM ET,17.352,Ten
WR,Vincent Jackson,5300,TB@Was 01:00PM ET,13.52,TB
QB,Brian Hoyer,5300,Hou@Mia 01:00PM ET,19.205,Hou
WR,Eric Decker,5300,NYJ@NE 01:00PM ET,16.225,NYJ
QB,Tyrod Taylor,5300,Buf@Jax 09:30AM ET,21.596,Buf
QB,Derek Carr,5300,Oak@SD 04:05PM ET,16.548,Oak
WR,Allen Hurns,5300,Buf@Jax 09:30AM ET,17.333,Jax
QB,Josh McCown,5200,Cle@StL 01:00PM ET,21.268,Cle
QB,Ryan Fitzpatrick,5200,NYJ@NE 01:00PM ET,18.076,NYJ
WR,Golden Tate,5200,Min@Det 01:00PM ET,11.467,Det
WR,Kendall Wright,5200,Atl@Ten 01:00PM ET,12.8,Ten
WR,Sammy Watkins,5200,Buf@Jax 09:30AM ET,9.425,Buf
WR,Donte Moncrief,5200,NO@Ind 01:00PM ET,15.283,Ind
QB,Alex Smith,5100,Pit@KC 01:00PM ET,16.803,KC
QB,Nick Foles,5100,Cle@StL 01:00PM ET,12.708,StL
QB,Landry Jones,5100,Pit@KC 01:00PM ET,14.62,Pit
QB,EJ Manuel,5100,Buf@Jax 09:30AM ET,7.173,Buf
QB,Teddy Bridgewater,5100,Min@Det 01:00PM ET,11.864,Min
QB,Jameis Winston,5100,TB@Was 01:00PM ET,16.232,TB
QB,Matt Hasselbeck,5000,NO@Ind 01:00PM ET,15.8,Ind
QB,Mike Vick,5000,Pit@KC 01:00PM ET,6.348,Pit
QB,Matt Cassel,5000,Dal@NYG 04:25PM ET,0,Dal
QB,Charlie Whitehurst,5000,Atl@Ten 01:00PM ET,0,Ten
QB,Tarvaris Jackson,5000,Sea@SF 08:25PM ET,0,Sea
QB,Derek Anderson,5000,Phi@Car 08:30PM ET,0,Car
QB,Dan Orlovsky,5000,Min@Det 01:00PM ET,5.32,Det
QB,Kellen Clemens,5000,Oak@SD 04:05PM ET,6.52,SD
QB,Shaun Hill,5000,Min@Det 01:00PM ET,0,Min
QB,Matt Moore,5000,Hou@Mia 01:00PM ET,0,Mia
QB,Drew Stanton,5000,Bal@Ari 08:30PM ET,-0.1,Ari
TE,Antonio Gates,5000,Oak@SD 04:05PM ET,24.35,SD
QB,Matt Schaub,5000,Bal@Ari 08:30PM ET,0,Bal
QB,Luke McCown,5000,NO@Ind 01:00PM ET,2.4,NO
QB,Chad Henne,5000,Buf@Jax 09:30AM ET,0,Jax
QB,Josh Johnson,5000,Buf@Jax 09:30AM ET,0,Buf
QB,Joe Webb,5000,Phi@Car 08:30PM ET,0,Car
QB,Mark Sanchez,5000,Phi@Car 08:30PM ET,0,Phi
QB,Chase Daniel,5000,Pit@KC 01:00PM ET,0,KC
QB,Colt McCoy,5000,TB@Was 01:00PM ET,0,Was
QB,Colin Kaepernick,5000,Sea@SF 08:25PM ET,17.993,SF
QB,Thaddeus Lewis,5000,Phi@Car 08:30PM ET,0,Phi
QB,Case Keenum,5000,Cle@StL 01:00PM ET,0,StL
QB,Ryan Mallett,5000,Hou@Mia 01:00PM ET,7.983,Hou
QB,Kellen Moore,5000,Dal@NYG 04:25PM ET,0,Dal
QB,Brandon Weeden,5000,Dal@NYG 04:25PM ET,9.63,Dal
WR,Pierre Garcon,5000,TB@Was 01:00PM ET,13.25,Was
QB,Austin Davis,5000,Cle@StL 01:00PM ET,0,Cle
QB,Kirk Cousins,5000,TB@Was 01:00PM ET,14,Was
QB,Robert Griffin III,5000,TB@Was 01:00PM ET,0,Was
QB,Blaine Gabbert,5000,Sea@SF 08:25PM ET,0,SF
QB,Sean Renfree,5000,Atl@Ten 01:00PM ET,-0.4,Atl
QB,Mike Glennon,5000,TB@Was 01:00PM ET,0,TB
QB,Ryan Nassib,5000,Dal@NYG 04:25PM ET,0,NYG
QB,Ryan Griffin,5000,TB@Was 01:00PM ET,0,TB
QB,Matt McGloin,5000,Oak@SD 04:05PM ET,11.68,Oak
QB,Matt Barkley,5000,Bal@Ari 08:30PM ET,0,Ari
QB,Zach Mettenberger,5000,Atl@Ten 01:00PM ET,1.21,Ten
QB,Aaron Murray,5000,Pit@KC 01:00PM ET,0,KC
QB,Bryce Petty,5000,NYJ@NE 01:00PM ET,0,NYJ
QB,Geno Smith,5000,NYJ@NE 01:00PM ET,0,NYJ
QB,Garrett Grayson,5000,NO@Ind 01:00PM ET,0,NO
QB,Jimmy Garoppolo,5000,NYJ@NE 01:00PM ET,-0.2,NE
QB,Sean Mannion,5000,Cle@StL 01:00PM ET,0,StL
QB,Johnny Manziel,5000,Cle@StL 01:00PM ET,13.38,Cle
QB,Taylor Heinicke,5000,Min@Det 01:00PM ET,0,Min
RB,Todd Gurley,5000,Cle@StL 01:00PM ET,14.133,StL
RB,Frank Gore,4900,NO@Ind 01:00PM ET,12.25,Ind
TE,Gary Barnidge,4900,Cle@StL 01:00PM ET,17.383,Cle
RB,Doug Martin,4900,TB@Was 01:00PM ET,17.98,TB
TE,Travis Kelce,4900,Pit@KC 01:00PM ET,14.433,KC
TE,Jason Witten,4800,Dal@NYG 04:25PM ET,13.62,Dal
RB,LeGarrette Blount,4800,NYJ@NE 01:00PM ET,14.85,NE
RB,Thomas Rawls,4800,Sea@SF 08:25PM ET,7.717,Sea
WR,Martavis Bryant,4700,Pit@KC 01:00PM ET,35.5,Pit
RB,Danny Woodhead,4600,Oak@SD 04:05PM ET,14.567,SD
RB,Lamar Miller,4600,Hou@Mia 01:00PM ET,10.92,Mia
RB,Carlos Hyde,4600,Sea@SF 08:25PM ET,13.383,SF
WR,Anquan Boldin,4500,Sea@SF 08:25PM ET,13.217,SF
WR,Victor Cruz,4500,Dal@NYG 04:25PM ET,0,NYG
WR,Tavon Austin,4500,Cle@StL 01:00PM ET,14.06,StL
TE,Julius Thomas,4500,Buf@Jax 09:30AM ET,12.4,Jax
RB,T.J. Yeldon,4500,Buf@Jax 09:30AM ET,12.08,Jax
WR,Kamar Aiken,4400,Bal@Ari 08:30PM ET,9.25,Bal
WR,Rueben Randle,4400,Dal@NYG 04:25PM ET,10.85,NYG
WR,Breshad Perriman,4400,Bal@Ari 08:30PM ET,0,Bal
WR,Andre Johnson,4300,NO@Ind 01:00PM ET,7.383,Ind
RB,Chris Johnson,4300,Bal@Ari 08:30PM ET,12.183,Ari
WR,Michael Crabtree,4300,Oak@SD 04:05PM ET,13.56,Oak
TE,Charles Clay,4300,Buf@Jax 09:30AM ET,13.067,Buf
RB,Shane Vereen,4300,Dal@NYG 04:25PM ET,9.75,NYG
RB,Andre Ellington,4300,Bal@Ari 08:30PM ET,11.1,Ari
WR,Rishard Matthews,4300,Hou@Mia 01:00PM ET,16.66,Mia
WR,Willie Snead,4300,NO@Ind 01:00PM ET,12.933,NO
WR,Mike Wallace,4200,Min@Det 01:00PM ET,10.72,Min
WR,Leonard Hankerson,4200,Atl@Ten 01:00PM ET,11.017,Atl
WR,Torrey Smith,4200,Sea@SF 08:25PM ET,10.55,SF
WR,Terrance Williams,4200,Dal@NYG 04:25PM ET,9.66,Dal
TE,Jordan Reed,4200,TB@Was 01:00PM ET,14.2,Was
RB,Melvin Gordon,4200,Oak@SD 04:05PM ET,8.083,SD
RB,Duke Johnson Jr.,4200,Cle@StL 01:00PM ET,10.817,Cle
WR,Stefon Diggs,4200,Min@Det 01:00PM ET,18.8,Min
RB,Charcandrick West,4200,Pit@KC 01:00PM ET,1.933,KC
WR,Doug Baldwin,4100,Sea@SF 08:25PM ET,11.183,Sea
RB,Rashad Jennings,4000,Dal@NYG 04:25PM ET,10.417,NYG
RB,Jonathan Stewart,4000,Phi@Car 08:30PM ET,10.16,Car
RB,Knile Davis,4000,Pit@KC 01:00PM ET,2.4,KC
RB,Ameer Abdullah,4000,Min@Det 01:00PM ET,8.867,Det
RB,Karlos Williams,4000,Buf@Jax 09:30AM ET,14.8,Buf
TE,Delanie Walker,3900,Atl@Ten 01:00PM ET,13.1,Ten
DST,Seahawks ,3800,Sea@SF 08:25PM ET,11.833,Sea
RB,Darren Sproles,3800,Phi@Car 08:30PM ET,8.867,Phi
RB,Isaiah Crowell,3800,Cle@StL 01:00PM ET,10.067,Cle
WR,Percy Harvin,3700,Buf@Jax 09:30AM ET,9.98,Buf
WR,Kenny Britt,3700,Cle@StL 01:00PM ET,7.66,StL
WR,Jamison Crowder,3700,TB@Was 01:00PM ET,8.933,Was
DST,Cardinals ,3600,Bal@Ari 08:30PM ET,11.167,Ari
WR,Roddy White,3600,Atl@Ten 01:00PM ET,5.133,Atl
WR,Malcom Floyd,3600,Oak@SD 04:05PM ET,8.833,SD
WR,Jermaine Kearse,3600,Sea@SF 08:25PM ET,8.567,Sea
RB,Charles Sims,3600,TB@Was 01:00PM ET,11.76,TB
RB,Tre Mason,3600,Cle@StL 01:00PM ET,2.45,StL
RB,Tevin Coleman,3600,Atl@Ten 01:00PM ET,5.125,Atl
WR,Lance Moore,3500,Min@Det 01:00PM ET,9.3,Det
RB,Reggie Bush,3500,Sea@SF 08:25PM ET,0.767,SF
WR,Danny Amendola,3500,NYJ@NE 01:00PM ET,9.32,NE
WR,Stevie Johnson,3500,Oak@SD 04:05PM ET,12.625,SD
RB,David Johnson,3500,Bal@Ari 08:30PM ET,11.583,Ari
RB,Javorius Allen,3500,Bal@Ari 08:30PM ET,3.017,Bal
WR,Nelson Agholor,3500,Phi@Car 08:30PM ET,3.5,Phi
WR,Marques Colston,3400,NO@Ind 01:00PM ET,7.6,NO
RB,Theo Riddick,3400,Min@Det 01:00PM ET,12.6,Det
WR,Cecil Shorts III,3400,Hou@Mia 01:00PM ET,12.18,Hou
RB,Bishop Sankey,3400,Atl@Ten 01:00PM ET,8.64,Ten
DST,Falcons ,3300,Atl@Ten 01:00PM ET,7.5,Atl
TE,Benjamin Watson,3300,NO@Ind 01:00PM ET,10.933,NO
WR,Ted Ginn Jr.,3300,Phi@Car 08:30PM ET,10.68,Car
WR,Dwayne Harris,3300,Dal@NYG 04:25PM ET,5.7,NYG
RB,C.J. Spiller,3300,NO@Ind 01:00PM ET,8,NO
RB,Alfred Morris,3300,TB@Was 01:00PM ET,6.733,Was
TE,Jordan Cameron,3300,Hou@Mia 01:00PM ET,8.2,Mia
TE,Larry Donnell,3300,Dal@NYG 04:25PM ET,9.05,NYG
RB,Bilal Powell,3300,NYJ@NE 01:00PM ET,7.36,NYJ
RB,Benny Cunningham,3300,Cle@StL 01:00PM ET,7.02,StL
RB,Chris Thompson,3300,TB@Was 01:00PM ET,9.333,Was
RB,Alfred Blue,3300,Hou@Mia 01:00PM ET,6.133,Hou
WR,Robert Woods,3300,Buf@Jax 09:30AM ET,7.183,Buf
RB,Antonio Andrews,3300,Atl@Ten 01:00PM ET,10.333,Ten
WR,Chris Hogan,3300,Buf@Jax 09:30AM ET,7.343,Buf
DST,Patriots ,3200,NYJ@NE 01:00PM ET,8.4,NE
RB,DeAngelo Williams,3200,Pit@KC 01:00PM ET,8.5,Pit
RB,Toby Gerhart,3200,Buf@Jax 09:30AM ET,2.225,Jax
RB,Dexter McCluster,3200,Atl@Ten 01:00PM ET,7.68,Ten
RB,Ryan Mathews,3200,Phi@Car 08:30PM ET,9.967,Phi
WR,Michael Floyd,3200,Bal@Ari 08:30PM ET,5.733,Ari
WR,Cole Beasley,3200,Dal@NYG 04:25PM ET,8.48,Dal
TE,Zach Ertz,3200,Phi@Car 08:30PM ET,6.617,Phi
WR,Josh Huff,3200,Phi@Car 08:30PM ET,6.12,Phi
TE,Austin Seferian-Jenkins,3200,TB@Was 01:00PM ET,17.95,TB
WR,Tyler Lockett,3200,Sea@SF 08:25PM ET,6.15,Sea
WR,Dorial Green-Beckham,3200,Atl@Ten 01:00PM ET,5.44,Ten
RB,Matt Jones,3200,TB@Was 01:00PM ET,9.8,Was
WR,Seth Roberts,3200,Oak@SD 04:05PM ET,5.4,Oak
DST,Bills ,3100,Buf@Jax 09:30AM ET,6,Buf
DST,Panthers ,3100,Phi@Car 08:30PM ET,10.4,Car
WR,Darrius Heyward-Bey,3100,Pit@KC 01:00PM ET,8.317,Pit
RB,Darren McFadden,3100,Dal@NYG 04:25PM ET,8.22,Dal
TE,Kyle Rudolph,3100,Min@Det 01:00PM ET,7.86,Min
RB,Joique Bell,3100,Min@Det 01:00PM ET,5.767,Det
DST,Vikings ,3000,Min@Det 01:00PM ET,8.6,Min
DST,Ravens ,3000,Bal@Ari 08:30PM ET,6.167,Bal
WR,Greg Jennings,3000,Hou@Mia 01:00PM ET,2.94,Mia
WR,Jason Avant,3000,Pit@KC 01:00PM ET,2.083,KC
TE,Vernon Davis,3000,Sea@SF 08:25PM ET,4.725,SF
WR,Miles Austin,3000,Phi@Car 08:30PM ET,4.383,Phi
WR,Nate Washington,3000,Hou@Mia 01:00PM ET,9.25,Hou
WR,Dwayne Bowe,3000,Cle@StL 01:00PM ET,0,Cle
RB,Tyler Clutts,3000,Dal@NYG 04:25PM ET,0.28,Dal
WR,Harry Douglas,3000,Atl@Ten 01:00PM ET,4.5,Ten
WR,Eric Weems,3000,Atl@Ten 01:00PM ET,0,Atl
WR,Matthew Slater,3000,NYJ@NE 01:00PM ET,0,NE
WR,Jerricho Cotchery,3000,Phi@Car 08:30PM ET,6.9,Car
RB,Jerome Felton,3000,Buf@Jax 09:30AM ET,0.033,Buf
RB,Ahmad Bradshaw,3000,NO@Ind 01:00PM ET,2.6,Ind
RB,Mike Tolbert,3000,Phi@Car 08:30PM ET,3.48,Car
WR,Andrew Hawkins,3000,Cle@StL 01:00PM ET,6.433,Cle
WR,Seyi Ajirotutu,3000,Phi@Car 08:30PM ET,0,Phi
WR,Marlon Moore,3000,Cle@StL 01:00PM ET,0.5,Cle
RB,Darrel Young,3000,TB@Was 01:00PM ET,0.5,Was
WR,Louis Murphy,3000,TB@Was 01:00PM ET,5.18,TB
WR,Brian Hartline,3000,Cle@StL 01:00PM ET,3.633,Cle
RB,Donald Brown,3000,Oak@SD 04:05PM ET,0,SD
RB,Jorvorskie Lane,3000,TB@Was 01:00PM ET,0,TB
RB,Shaun Draughn,3000,Cle@StL 01:00PM ET,0.62,Cle
RB,Marcel Reece,3000,Oak@SD 04:05PM ET,9.78,Oak
RB,Bruce Miller,3000,Sea@SF 08:25PM ET,2.983,SF
WR,Bryan Walters,3000,Buf@Jax 09:30AM ET,8.06,Jax
WR,Andre Roberts,3000,TB@Was 01:00PM ET,2.4,Was
WR,Jacoby Jones,3000,Oak@SD 04:05PM ET,0,SD
WR,Riley Cooper,3000,Phi@Car 08:30PM ET,7.25,Phi
RB,Fred Jackson,3000,Sea@SF 08:25PM ET,5.533,Sea
RB,Boobie Dixon,3000,Buf@Jax 09:30AM ET,2.817,Buf
WR,Jeremy Ross,3000,Bal@Ari 08:30PM ET,5.5,Bal
RB,Chase Reynolds,3000,Cle@StL 01:00PM ET,0,StL
WR,Joseph Morgan,3000,NO@Ind 01:00PM ET,0,NO
RB,Fozzy Whittaker,3000,Phi@Car 08:30PM ET,2.3,Car
WR,Marcus Easley,3000,Buf@Jax 09:30AM ET,0,Buf
RB,Matt Asiata,3000,Min@Det 01:00PM ET,2.86,Min
RB,Taiwan Jones,3000,Oak@SD 04:05PM ET,2.3,Oak
WR,Charles Johnson,3000,Min@Det 01:00PM ET,3.533,Min
WR,Brian Quick,3000,Cle@StL 01:00PM ET,1,StL
RB,Daniel Herron,3000,Buf@Jax 09:30AM ET,3.25,Buf
WR,Denarius Moore,3000,Buf@Jax 09:30AM ET,-0.5,Buf
WR,Dontrelle Inman,3000,Oak@SD 04:05PM ET,4.52,SD
TE,Coby Fleener,3000,NO@Ind 01:00PM ET,7.3,Ind
WR,Jeremy Kerley,3000,NYJ@NE 01:00PM ET,3.06,NYJ
RB,Anthony Sherman,3000,Pit@KC 01:00PM ET,0.55,KC
RB,Will Tukuafu,3000,Sea@SF 08:25PM ET,0,Sea
RB,Robert Turbin,3000,Cle@StL 01:00PM ET,2.7,Cle
RB,Will Johnson,3000,Pit@KC 01:00PM ET,1.117,Pit
RB,Bobby Rainey,3000,TB@Was 01:00PM ET,0.84,TB
RB,Roy Helu Jr.,3000,Oak@SD 04:05PM ET,4.625,Oak
RB,Patrick DiMarco,3000,Atl@Ten 01:00PM ET,1.35,Atl
RB,Austin Johnson,3000,NO@Ind 01:00PM ET,1.88,NO
RB,Chris Polk,3000,Hou@Mia 01:00PM ET,5.733,Hou
RB,Jarryd Hayne,3000,Sea@SF 08:25PM ET,0.533,SF
RB,Kenjon Barner,3000,Phi@Car 08:30PM ET,0,Phi
WR,Brice Butler,3000,Dal@NYG 04:25PM ET,2.567,Dal
RB,Zach Line,3000,Min@Det 01:00PM ET,2.7,Min
WR,Chris Owusu,3000,NYJ@NE 01:00PM ET,4.75,NYJ
WR,Griff Whalen,3000,NO@Ind 01:00PM ET,2.267,Ind
WR,Brenton Bersin,3000,Phi@Car 08:30PM ET,3.9,Car
RB,Jonathan Grimes,3000,Hou@Mia 01:00PM ET,5.625,Hou
WR,Frankie Hammond Jr.,3000,Pit@KC 01:00PM ET,0,KC
WR,Jaron Brown,3000,Bal@Ari 08:30PM ET,2.467,Ari
WR,Chris Givens,3000,Bal@Ari 08:30PM ET,1.58,Bal
WR,Keshawn Martin,3000,NYJ@NE 01:00PM ET,7.167,NE
WR,Myles White,3000,Dal@NYG 04:25PM ET,0,NYG
RB,Jordan Todman,3000,Pit@KC 01:00PM ET,0.183,Pit
WR,Jarius Wright,3000,Min@Det 01:00PM ET,4.8,Min
RB,Brandon Bolden,3000,NYJ@NE 01:00PM ET,0.72,NE
RB,Jonas Gray,3000,Hou@Mia 01:00PM ET,3.167,Mia
WR,Russell Shepard,3000,TB@Was 01:00PM ET,0.533,TB
RB,Zurlon Tipton,3000,NO@Ind 01:00PM ET,0.3,Ind
RB,Tommy Bohanon,3000,NYJ@NE 01:00PM ET,0.04,NYJ
WR,Ryan Grant,3000,TB@Was 01:00PM ET,4.667,Was
WR,Markus Wheaton,3000,Pit@KC 01:00PM ET,6.933,Pit
RB,Nikita Whitlock,3000,Dal@NYG 04:25PM ET,0,NYG
RB,Kyle Juszczyk,3000,Bal@Ari 08:30PM ET,4.75,Bal
RB,Stepfan Taylor,3000,Bal@Ari 08:30PM ET,0.417,Ari
RB,Zac Stacy,3000,NYJ@NE 01:00PM ET,5.175,NYJ
WR,Tony Washington,3000,Buf@Jax 09:30AM ET,0.2,Jax
RB,Branden Oliver,3000,Oak@SD 04:05PM ET,2.7,SD
WR,Dri Archer,3000,Pit@KC 01:00PM ET,0,Pit
WR,Marquise Goodwin,3000,Buf@Jax 09:30AM ET,2.2,Buf
RB,Brandon Wegher,3000,Phi@Car 08:30PM ET,0,Car
WR,Kevin Norwood,3000,Phi@Car 08:30PM ET,0,Car
WR,Ricardo Lockette,3000,Sea@SF 08:25PM ET,2.6,Sea
RB,Christine Michael,3000,Dal@NYG 04:25PM ET,0.25,Dal
RB,Denard Robinson,3000,Buf@Jax 09:30AM ET,4.733,Jax
WR,Nick Williams,3000,Atl@Ten 01:00PM ET,1.917,Atl
WR,Devin Street,3000,Dal@NYG 04:25PM ET,1.02,Dal
WR,Marlon Brown,3000,Bal@Ari 08:30PM ET,3.067,Bal
WR,Chris Matthews,3000,Sea@SF 08:25PM ET,1.567,Sea
WR,Aaron Dobson,3000,NYJ@NE 01:00PM ET,6.367,NE
RB,Bernard Pierce,3000,Buf@Jax 09:30AM ET,0.96,Jax
WR,Stedman Bailey,3000,Cle@StL 01:00PM ET,6.22,StL
RB,Spencer Ware,3000,Pit@KC 01:00PM ET,0,KC
WR,Quincy Enunwa,3000,NYJ@NE 01:00PM ET,3.48,NYJ
WR,Justin Hunter,3000,Atl@Ten 01:00PM ET,5.52,Ten
WR,Kenny Stills,3000,Hou@Mia 01:00PM ET,6.14,Mia
RB,Jay Prosch,3000,Hou@Mia 01:00PM ET,0.467,Hou
RB,Jalston Fowler,3000,Atl@Ten 01:00PM ET,2.02,Ten
WR,TJ Jones,3000,Min@Det 01:00PM ET,0.2,Det
RB,Orleans Darkwa,3000,Dal@NYG 04:25PM ET,0,NYG
RB,Roosevelt Nix,3000,Pit@KC 01:00PM ET,0,Pit
WR,Rod Streater,3000,Oak@SD 04:05PM ET,1.8,Oak
RB,Marcus Murphy,3000,NO@Ind 01:00PM ET,1,NO
RB,Andre Williams,3000,Dal@NYG 04:25PM ET,3.45,NYG
RB,Rod Smith,3000,Dal@NYG 04:25PM ET,0.5,Dal
WR,Walt Powell,3000,Oak@SD 04:05PM ET,0,Oak
RB,Malcolm Johnson,3000,Cle@StL 01:00PM ET,0.733,Cle
RB,James White,3000,NYJ@NE 01:00PM ET,1.85,NE
WR,Brandon Coleman,3000,NO@Ind 01:00PM ET,4.383,NO
RB,Michael Burton,3000,Min@Det 01:00PM ET,0.517,Det
WR,Albert Wilson,3000,Pit@KC 01:00PM ET,5.05,KC
RB,Corey Grant,3000,Buf@Jax 09:30AM ET,0.417,Jax
WR,DeAndrew White,3000,Sea@SF 08:25PM ET,1.267,SF
WR,Matt Hazel,3000,Hou@Mia 01:00PM ET,0,Mia
WR,Keith Mumphery,3000,Hou@Mia 01:00PM ET,3.833,Hou
WR,Justin Hardy,3000,Atl@Ten 01:00PM ET,0,Atl
WR,J.J. Nelson,3000,Bal@Ari 08:30PM ET,-0.5,Ari
WR,Andre Holmes,3000,Oak@SD 04:05PM ET,3.06,Oak
WR,Corey Fuller,3000,Min@Det 01:00PM ET,1.62,Det
WR,Geremy Davis,3000,Dal@NYG 04:25PM ET,0.683,NYG
RB,Jamize Olawale,3000,Oak@SD 04:05PM ET,2.233,Oak
RB,Jerick McKinnon,3000,Min@Det 01:00PM ET,1.6,Min
WR,Corey Brown,3000,Phi@Car 08:30PM ET,5.24,Car
RB,Zach Zenner,3000,Min@Det 01:00PM ET,1.517,Det
RB,Terrence Magee,3000,Bal@Ari 08:30PM ET,0,Bal
RB,Terron Ward,3000,Atl@Ten 01:00PM ET,3.267,Atl
WR,Chris Conley,3000,Pit@KC 01:00PM ET,2.683,KC
WR,Quinton Patton,3000,Sea@SF 08:25PM ET,4.983,SF
WR,Sammie Coates,3000,Pit@KC 01:00PM ET,0.525,Pit
RB,Terrance West,3000,Atl@Ten 01:00PM ET,1.55,Ten
WR,Phillip Dorsett,3000,NO@Ind 01:00PM ET,5.217,Ind
WR,Rashad Ross,3000,TB@Was 01:00PM ET,3.72,Was
WR,Marqise Lee,3000,Buf@Jax 09:30AM ET,4.1,Jax
WR,Darren Waller,3000,Bal@Ari 08:30PM ET,0.76,Bal
WR,DeVante Parker,3000,Hou@Mia 01:00PM ET,1.78,Mia
WR,Bruce Ellington,3000,Sea@SF 08:25PM ET,2.8,SF
WR,Bradley Marquez,3000,Cle@StL 01:00PM ET,0,StL
TE,Eric Ebron,3000,Min@Det 01:00PM ET,11.225,Det
WR,Devin Smith,3000,NYJ@NE 01:00PM ET,3.433,NYJ
RB,Raheem Mostert,3000,Bal@Ari 08:30PM ET,0,Bal
RB,Josh Robinson,3000,NO@Ind 01:00PM ET,2.44,Ind
WR,De'Anthony Thomas,3000,Pit@KC 01:00PM ET,3.383,KC
WR,Brittan Golden,3000,Bal@Ari 08:30PM ET,0,Ari
WR,Cordarrelle Patterson,3000,Min@Det 01:00PM ET,0.78,Min
RB,Damien Williams,3000,Hou@Mia 01:00PM ET,3.42,Mia
RB,Mike Davis,3000,Sea@SF 08:25PM ET,1.967,SF
WR,Devin Funchess,3000,Phi@Car 08:30PM ET,2.24,Car
RB,Cameron Artis-Payne,3000,Phi@Car 08:30PM ET,1.033,Car
WR,Lucky Whitehead,3000,Dal@NYG 04:25PM ET,0.175,Dal
