,Name,Position,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fox,fire,average
33,Philip Rivers,QB,6600,SD@Bal 01:00PM ET,24.04,SD,28.2,18.8,20.65,19.8,23.974,24.388,24.1152,22.8467428571
34,Greg Olsen,TE,6500,Ind@Car 08:30PM ET,15.817,Car,20.0,15.8,14.51,14.9,13.98,11.01,12.953,14.7361428571
35,Peyton Manning,QB,6400,GB@Den 08:30PM ET,13.593,Den,17.2,16.78,15.72,17.78,17.476,13.548,13.8514,16.0507714286
36,Mark Ingram,RB,6400,NYG@NO 01:00PM ET,18.5,NO,20.0,12.7,15.01,14.0,15.28,15.97,13.689,15.2355714286
37,Dion Lewis,RB,6400,Mia@NE 08:25PM ET,17.74,NE,10.0,16.3,14.7,18.7,14.2,11.25,13.928,14.154
38,Alshon Jeffery,WR,6400,Min@Chi 01:00PM ET,22.25,Chi,22.0,22.8,15.51,20.5,16.49,15.53,14.928,18.2511428571
39,Russell Wilson,QB,6300,Sea@Dal 04:25PM ET,16.974,Sea,20.6,25.2,20.73,26.2,17.61,20.658,19.709,21.5295714286
40,Todd Gurley,RB,6300,SF@StL 01:00PM ET,19.425,StL,23.0,17.6,16.51,17.1,19.19,16.09,16.781,18.0387142857
41,Jeremy Maclin,WR,6200,Det@KC 09:30AM ET,17.317,KC,20.0,18.6,16.71,17.3,17.49,17.57,16.3668,17.7195428571
42,Eddie Lacy,RB,6200,GB@Den 08:30PM ET,8.217,GB,5.0,17.0,12.74,16.9,12.45,14.52,11.866,12.9251428571
43,Jarvis Landry,WR,6200,Mia@NE 08:25PM ET,18.7,Mia,20.5,17.4,13.2,16.8,15.99,11.99,16.32,16.0285714286
44,Steve Smith Sr.,WR,6100,SD@Bal 01:00PM ET,21.133,Bal,19.5,15.8,16.78,14.9,13.8,13.7,15.634,15.7305714286
45,Justin Forsett,RB,6100,SD@Bal 01:00PM ET,15.286,Bal,24.5,17.7,16.89,18.7,23.91,20.77,19.857,20.3324285714
46,Andy Dalton,QB,6000,Cin@Pit 01:00PM ET,24.957,Cin,24.0,17.68,18.13,18.68,18.258,17.836,21.1726,19.3938
47,Chris Ivory,RB,6000,NYJ@Oak 04:05PM ET,20.3,NYJ,15.5,16.2,12.44,17.0,13.75,14.05,16.042,14.9974285714
48,Latavius Murray,RB,5900,NYJ@Oak 04:05PM ET,15.167,Oak,17.5,12.8,13.25,13.0,11.4,11.67,14.601,13.4601428571
49,Matthew Stafford,QB,5800,Det@KC 09:30AM ET,17.463,Det,18.9,14.2,17.83,15.2,17.744,18.728,18.0242,17.2323142857
50,John Brown,WR,5800,Ari@Cle 01:00PM ET,16.357,Ari,18.0,14.4,13.35,13.2,13.06,,14.681,14.4485
51,James Jones,WR,5700,GB@Den 08:30PM ET,17.067,GB,17.5,18.6,11.13,17.3,11.02,14.05,14.047,14.8067142857
52,Ryan Tannehill,QB,5600,Mia@NE 08:25PM ET,19.753,Mia,18.6,18.6,15.98,19.6,18.3,15.378,17.3766,17.6906571429
53,Joe Flacco,QB,5500,SD@Bal 01:00PM ET,17.811,Bal,13.1,17.98,19.99,18.98,17.4,16.21,16.4206,17.1543714286
54,Doug Martin,RB,5500,TB@Atl 01:00PM ET,18.833,TB,18.5,13.6,13.27,13.7,13.99,14.13,16.145,14.7621428571
55,Donte Moncrief,WR,5500,Ind@Car 08:30PM ET,15.014,Ind,17.5,15.5,10.2,14.9,14.36,9.4,12.285,13.4492857143
56,Marcus Mariota,QB,5400,Ten@Hou 01:00PM ET,17.352,Ten,,18.02,15.63,20.02,18.608,15.874,8.5854,16.1229
57,Brandin Cooks,WR,5400,NYG@NO 01:00PM ET,12.629,NO,19.5,18.8,13.83,17.8,13.7,13.62,15.069,16.0455714286
58,Brian Hoyer,QB,5300,Ten@Hou 01:00PM ET,19.748,Hou,18.7,16.72,15.47,17.72,16.628,13.386,16.9794,16.5147714286
59,Eric Decker,WR,5300,NYJ@Oak 04:05PM ET,16.06,NYJ,19.0,19.8,14.0,17.9,13.82,14.37,13.084,15.9962857143
60,Travis Benjamin,WR,5300,Ari@Cle 01:00PM ET,18.071,Cle,13.0,17.4,10.43,15.8,13.42,12.67,13.371,13.7272857143
61,Derek Carr,QB,5300,NYJ@Oak 04:05PM ET,17.767,Oak,17.3,11.76,15.25,12.76,15.998,15.05,16.9598,15.0111142857
62,Tyler Eifert,TE,5300,Cin@Pit 01:00PM ET,16.867,Cin,19.5,21.4,14.99,19.7,12.91,10.25,10.984,15.6762857143
63,Martavis Bryant,WR,5300,Cin@Pit 01:00PM ET,25.15,Pit,19.0,18.7,11.83,17.5,13.73,10.11,10.465,14.4764285714
64,Jeremy Hill,RB,5300,Cin@Pit 01:00PM ET,10.817,Cin,5.5,11.9,10.56,11.3,9.47,7.18,13.121,9.86157142857
65,Jay Cutler,QB,5200,Min@Chi 01:00PM ET,17.088,Chi,19.4,16.88,15.97,17.88,15.586,18.486,17.0594,17.3230571429
66,Ryan Fitzpatrick,QB,5200,NYJ@Oak 04:05PM ET,18.68,NYJ,20.8,16.28,18.27,17.28,18.246,14.646,19.3392,17.8373142857
67,Jason Witten,TE,5200,Sea@Dal 04:25PM ET,13.567,Dal,15.0,16.8,9.28,16.4,10.26,13.54,10.164,13.0634285714
68,Jameis Winston,QB,5200,TB@Atl 01:00PM ET,16.923,TB,14.3,14.6,15.91,16.6,16.096,17.174,16.125,15.8292857143
69,Jimmy Graham,TE,5100,Sea@Dal 04:25PM ET,11.929,Sea,16.5,20.6,14.41,19.3,10.59,10.46,11.268,14.7325714286
70,Nick Foles,QB,5100,SF@StL 01:00PM ET,11.643,StL,12.3,18.38,16.22,19.38,15.152,18.912,11.921,16.0378571429
71,Landry Jones,QB,5100,Cin@Pit 01:00PM ET,11.89,Pit,,,4.024,,,,5.7184,4.8712
72,Kendall Wright,WR,5100,Ten@Hou 01:00PM ET,13.1,Ten,19.0,9.9,12.15,9.1,11.28,14.0,12.364,12.542
73,Zach Mettenberger,QB,5100,Ten@Hou 01:00PM ET,3.967,Ten,17.8,,,,,,7.2416,12.5208
74,Teddy Bridgewater,QB,5100,Min@Chi 01:00PM ET,13.677,Min,18.2,17.52,16.98,18.52,15.294,16.754,17.2616,17.2185142857
75,Matt Hasselbeck,QB,5000,Ind@Car 08:30PM ET,15.8,Ind,,,,,,,,
76,Mike Vick,QB,5000,Cin@Pit 01:00PM ET,6.348,Pit,,,,,,,,
77,Josh McCown,QB,5000,Ari@Cle 01:00PM ET,19.54,Cle,14.0,17.9,15.48,18.9,16.796,13.456,13.504,15.7194285714
78,Matt Cassel,QB,5000,Sea@Dal 04:25PM ET,5.24,Dal,11.8,16.08,9.79,15.08,14.694,17.408,13.2324,14.0120571429
79,Charlie Whitehurst,QB,5000,Ten@Hou 01:00PM ET,0.0,Ten,,,,,,,,
80,Tarvaris Jackson,QB,5000,Sea@Dal 04:25PM ET,0.0,Sea,,,,,,,,
81,Derek Anderson,QB,5000,Ind@Car 08:30PM ET,0.0,Car,,,,,,,1.0468,1.0468
82,Dan Orlovsky,QB,5000,Det@KC 09:30AM ET,5.32,Det,,,,,,,,
83,Kellen Clemens,QB,5000,SD@Bal 01:00PM ET,6.52,SD,,,,,,,,
84,Shaun Hill,QB,5000,Min@Chi 01:00PM ET,0.0,Min,,,,,,,1.2438,1.2438
85,Matt Moore,QB,5000,Mia@NE 08:25PM ET,0.36,Mia,,,,,,,,
86,Drew Stanton,QB,5000,Ari@Cle 01:00PM ET,-0.1,Ari,,,,,,,,
87,Alex Smith,QB,5000,Det@KC 09:30AM ET,16.48,KC,20.6,17.06,17.72,18.06,18.596,19.558,17.2672,18.4087428571
88,Matt Schaub,QB,5000,SD@Bal 01:00PM ET,0.0,Bal,,,,,,,,
89,Luke McCown,QB,5000,NYG@NO 01:00PM ET,2.2,NO,,,,,,,,
90,Joe Webb,QB,5000,Ind@Car 08:30PM ET,0.0,Car,,,,,,,,
91,Chase Daniel,QB,5000,Det@KC 09:30AM ET,0.0,KC,,,,,,,,
92,Colin Kaepernick,QB,5000,SF@StL 01:00PM ET,16.131,SF,13.4,12.6,15.26,14.6,15.116,20.418,14.9664,15.1943428571
93,Scott Tolzien,QB,5000,GB@Den 08:30PM ET,0.0,GB,,,,,,,,
94,Case Keenum,QB,5000,SF@StL 01:00PM ET,0.0,StL,,,,,,,1.1548,1.1548
95,Jimmy Clausen,QB,5000,Min@Chi 01:00PM ET,3.58,Chi,,,,,,,,
96,Ryan Mallett,QB,5000,Ten@Hou 01:00PM ET,7.983,Hou,,,,,,,,
97,Kellen Moore,QB,5000,Sea@Dal 04:25PM ET,0.0,Dal,,,,,,,,
98,Brandon Weeden,QB,5000,Sea@Dal 04:25PM ET,9.63,Dal,,,,,,,,
99,Golden Tate,WR,5000,Det@KC 09:30AM ET,10.314,Det,10.0,10.0,11.27,9.1,12.32,14.57,11.844,11.3005714286
100,Austin Davis,QB,5000,Ari@Cle 01:00PM ET,0.0,Cle,,,,,,,,
101,Travis Kelce,TE,5000,Det@KC 09:30AM ET,14.129,KC,18.5,16.6,14.12,16.3,12.56,13.13,12.55,14.8228571429
102,Blaine Gabbert,QB,5000,SF@StL 01:00PM ET,0.0,SF,,,,,,,,
103,Sean Renfree,QB,5000,TB@Atl 01:00PM ET,-0.4,Atl,,,,,,,,
104,Mike Glennon,QB,5000,TB@Atl 01:00PM ET,0.0,TB,,,,,,,1.134,1.134
105,Ryan Nassib,QB,5000,NYG@NO 01:00PM ET,0.0,NYG,,,,,,,,
106,Ryan Griffin,QB,5000,TB@Atl 01:00PM ET,0.0,TB,,,,,,,,
107,Matt McGloin,QB,5000,NYJ@Oak 04:05PM ET,11.68,Oak,,,,,,,,
108,Matt Barkley,QB,5000,Ari@Cle 01:00PM ET,0.0,Ari,,,,,,,,
109,Aaron Murray,QB,5000,Det@KC 09:30AM ET,0.0,KC,,,,,,,,
110,Brock Osweiler,QB,5000,GB@Den 08:30PM ET,0.0,Den,,,,,,,,
111,Bryce Petty,QB,5000,NYJ@Oak 04:05PM ET,0.0,NYJ,,,,,,,,
112,AJ McCarron,QB,5000,Cin@Pit 01:00PM ET,0.0,Cin,,,,,,,,
113,Geno Smith,QB,5000,NYJ@Oak 04:05PM ET,0.0,NYJ,,,,,,,1.06,1.06
114,Garrett Grayson,QB,5000,NYG@NO 01:00PM ET,0.0,NO,,,,,,,,
115,Trevor Siemian,QB,5000,GB@Den 08:30PM ET,0.0,Den,,,,,,,,
116,Jimmy Garoppolo,QB,5000,Mia@NE 08:25PM ET,-0.2,NE,,,,,,,1.0628,1.0628
117,Tyler Murphy,QB,5000,Cin@Pit 01:00PM ET,1.3,Pit,,,,,,,,
118,Sean Mannion,QB,5000,SF@StL 01:00PM ET,0.0,StL,,,,,,,,
119,Brett Hundley,QB,5000,GB@Den 08:30PM ET,0.0,GB,,,,,,,,
120,Johnny Manziel,QB,5000,Ari@Cle 01:00PM ET,9.447,Cle,,,,,,,2.1156,2.1156
121,Taylor Heinicke,QB,5000,Min@Chi 01:00PM ET,0.0,Min,,,,,,,,
122,Vincent Jackson,WR,4900,TB@Atl 01:00PM ET,11.65,TB,,16.8,,15.4,,,,16.1
123,Martellus Bennett,TE,4900,Min@Chi 01:00PM ET,12.533,Chi,18.5,19.2,12.06,18.6,12.32,12.42,11.244,14.9062857143
124,Frank Gore,RB,4800,Ind@Car 08:30PM ET,12.286,Ind,10.0,12.2,10.37,12.3,13.06,12.08,13.973,11.9975714286
125,Antonio Gates,TE,4800,SD@Bal 01:00PM ET,24.35,SD,,14.2,,14.1,,,5.314,11.2046666667
126,Giovani Bernard,RB,4800,Cin@Pit 01:00PM ET,14.6,Cin,17.5,16.9,13.6,17.0,12.27,15.58,11.596,14.9208571429
127,Stefon Diggs,WR,4800,Min@Chi 01:00PM ET,21.433,Min,23.5,21.0,11.27,19.5,11.4,9.3,12.013,15.4261428571
128,Gary Barnidge,TE,4700,Ari@Cle 01:00PM ET,17.629,Cle,18.0,19.4,11.01,19.7,11.51,11.04,9.877,14.3624285714
129,Michael Crabtree,WR,4700,NYJ@Oak 04:05PM ET,14.35,Oak,18.5,16.4,9.65,15.2,15.08,13.53,9.499,13.9798571429
130,LeGarrette Blount,RB,4700,Mia@NE 08:25PM ET,11.82,NE,14.5,11.3,12.02,12.1,11.5,12.31,11.069,12.1141428571
131,Lamar Miller,RB,4700,Mia@NE 08:25PM ET,16.033,Mia,21.5,7.4,13.49,8.3,14.28,12.8,15.862,13.376
132,Charcandrick West,RB,4700,Det@KC 09:30AM ET,5.071,KC,14.5,8.0,11.54,7.6,14.16,12.4,11.079,11.3255714286
133,Chris Johnson,RB,4600,Ari@Cle 01:00PM ET,13.471,Ari,16.5,6.9,11.98,7.7,13.89,17.02,16.488,12.9254285714
134,Ronnie Hillman,RB,4600,GB@Den 08:30PM ET,9.667,Den,19.0,15.7,9.59,15.4,10.61,12.64,9.704,13.2348571429
135,Tavon Austin,WR,4600,SF@StL 01:00PM ET,13.45,StL,10.0,7.9,8.99,8.2,10.54,9.64,8.998,9.18114285714
136,Danny Woodhead,RB,4500,SD@Bal 01:00PM ET,17.214,SD,11.5,19.8,13.68,18.1,13.73,11.1,12.357,14.3238571429
137,Willie Snead,WR,4500,NYG@NO 01:00PM ET,11.871,NO,19.0,8.2,11.77,6.1,11.35,10.02,10.591,11.0044285714
138,Anquan Boldin,WR,4400,SF@StL 01:00PM ET,12.314,SF,13.0,17.4,12.61,16.7,12.45,15.01,10.046,13.888
139,Carlos Hyde,RB,4400,SF@StL 01:00PM ET,12.043,SF,6.5,12.2,10.81,12.5,11.47,15.44,11.235,11.4507142857
140,Victor Cruz,WR,4300,NYG@NO 01:00PM ET,0.0,NYG,,5.0,12.87,4.5,,14.47,,9.21
141,James Starks,RB,4300,GB@Den 08:30PM ET,10.183,GB,17.5,8.5,6.93,9.6,6.16,6.51,8.166,9.05228571429
142,Andre Ellington,RB,4300,Ari@Cle 01:00PM ET,10.3,Ari,3.0,7.4,8.1,7.8,7.09,8.54,6.386,6.90228571429
143,Joseph Randle,RB,4300,Sea@Dal 04:25PM ET,12.35,Dal,,3.0,,3.6,,,4.744,3.78133333333
144,Rishard Matthews,WR,4300,Mia@NE 08:25PM ET,16.633,Mia,19.0,15.6,9.22,14.8,11.0,10.4,10.412,12.9188571429
145,C.J. Anderson,RB,4300,GB@Den 08:30PM ET,6.833,Den,7.0,5.0,10.43,5.1,8.99,7.37,6.212,7.15742857143
146,Mike Wallace,WR,4200,Min@Chi 01:00PM ET,10.2,Min,16.5,20.0,12.48,18.1,11.11,12.49,9.689,14.3384285714
147,Kamar Aiken,WR,4200,SD@Bal 01:00PM ET,8.157,Bal,6.5,0.6,7.95,3.3,7.73,11.06,10.534,6.81057142857
148,Marvin Jones,WR,4200,Cin@Pit 01:00PM ET,12.5,Cin,10.0,18.0,10.59,17.0,10.59,10.14,9.4872,12.2581714286
149,Rueben Randle,WR,4200,NYG@NO 01:00PM ET,10.557,NYG,9.5,16.0,8.51,15.0,11.34,8.64,10.242,11.3188571429
150,Breshad Perriman,WR,4200,SD@Bal 01:00PM ET,0.0,Bal,,,,,,,,
151,Duke Johnson Jr.,RB,4200,Ari@Cle 01:00PM ET,11.557,Cle,9.5,9.3,10.24,9.2,11.85,9.57,10.877,10.0767142857
152,Delanie Walker,TE,4100,Ten@Hou 01:00PM ET,12.98,Ten,18.5,19.2,8.53,17.6,13.13,9.16,9.926,13.7208571429
153,Jonathan Stewart,RB,4100,Ind@Car 08:30PM ET,11.05,Car,15.0,9.2,11.43,9.8,13.15,14.44,11.905,12.1321428571
154,Torrey Smith,WR,4100,SF@StL 01:00PM ET,9.043,SF,7.5,6.2,9.0,5.1,7.24,10.21,8.528,7.68257142857
155,Shane Vereen,RB,4100,NYG@NO 01:00PM ET,9.386,NYG,10.0,14.1,10.9,14.3,10.3,7.83,8.633,10.8661428571
156,Terrance Williams,WR,4100,Sea@Dal 04:25PM ET,9.883,Dal,12.5,6.8,8.18,5.4,7.82,12.92,10.925,9.22071428571
157,Cardinals ,DST,4000,Ari@Cle 01:00PM ET,10.714,Ari,,,,,,,,
158,Andre Johnson,WR,4000,Ind@Car 08:30PM ET,7.529,Ind,4.5,5.0,9.3,4.5,8.75,9.15,5.003,6.60042857143
159,Marquess Wilson,WR,4000,Min@Chi 01:00PM ET,8.633,Chi,6.5,4.2,7.53,4.1,4.51,2.22,7.549,5.22985714286
160,Melvin Gordon,RB,4000,SD@Bal 01:00PM ET,7.343,SD,5.0,4.1,6.89,4.6,7.73,10.92,8.961,6.88585714286
161,Roddy White,WR,3900,TB@Atl 01:00PM ET,5.514,Atl,17.0,4.4,10.69,4.2,8.09,12.56,5.205,8.87785714286
162,Rashad Jennings,RB,3900,NYG@NO 01:00PM ET,9.2,NYG,9.5,3.8,10.56,4.1,8.72,10.04,10.59,8.18714285714
163,Ameer Abdullah,RB,3900,Det@KC 09:30AM ET,8.214,Det,6.5,5.1,9.88,5.0,9.34,11.83,9.077,8.10385714286
164,Davante Adams,WR,3900,GB@Den 08:30PM ET,6.067,GB,6.5,14.8,7.93,14.4,10.73,10.27,7.041,10.2387142857
165,Darren McFadden,RB,3800,Sea@Dal 04:25PM ET,11.383,Dal,17.0,13.5,11.65,12.9,14.97,14.13,14.824,14.1391428571
166,Seahawks ,DST,3700,Sea@Dal 04:25PM ET,12.0,Sea,,,,,,,,
167,Nate Washington,WR,3600,Ten@Hou 01:00PM ET,14.74,Hou,11.5,4.8,10.79,4.4,11.68,12.42,10.422,9.43028571429
168,Danny Amendola,WR,3600,Mia@NE 08:25PM ET,11.533,NE,16.5,7.2,9.02,7.6,7.08,10.67,6.236,9.18657142857
169,Kenny Britt,WR,3600,SF@StL 01:00PM ET,7.233,StL,7.5,7.3,8.14,5.7,8.36,13.82,8.137,8.42242857143
170,Leonard Hankerson,WR,3600,TB@Atl 01:00PM ET,9.443,Atl,,7.8,11.41,6.9,,,7.884,8.4985
171,Charles Sims,RB,3600,TB@Atl 01:00PM ET,11.067,TB,9.5,7.5,11.59,7.7,10.28,1.06,7.847,7.92528571429
172,Orleans Darkwa,RB,3600,NYG@NO 01:00PM ET,1.543,NYG,,1.8,5.45,1.7,4.57,,8.189,4.3418
173,Tevin Coleman,RB,3600,TB@Atl 01:00PM ET,4.38,Atl,4.0,2.2,5.29,3.0,5.52,0.45,4.086,3.50657142857
174,Benjamin Watson,TE,3500,NYG@NO 01:00PM ET,10.786,NO,,3.2,7.24,3.6,10.02,10.25,9.448,7.293
175,Eddie Royal,WR,3500,Min@Chi 01:00PM ET,9.18,Chi,6.5,13.4,9.02,12.7,9.23,10.95,7.041,9.83442857143
176,Malcom Floyd,WR,3500,SD@Bal 01:00PM ET,7.814,SD,16.0,9.2,8.21,7.6,10.85,10.37,8.279,10.0727142857
177,Doug Baldwin,WR,3500,Sea@Dal 04:25PM ET,10.143,Sea,17.0,8.5,12.15,8.3,9.72,11.14,8.766,10.7965714286
178,Michael Floyd,WR,3500,Ari@Cle 01:00PM ET,7.043,Ari,10.5,7.8,9.15,7.9,9.72,10.91,9.494,9.35342857143
179,Knile Davis,RB,3500,Det@KC 09:30AM ET,2.086,KC,2.0,3.5,8.09,3.7,3.65,4.49,4.126,4.22228571429
180,Alfred Blue,RB,3500,Ten@Hou 01:00PM ET,5.371,Hou,8.5,6.1,8.23,6.3,8.02,16.77,10.9202,9.26288571429
181,David Johnson,RB,3500,Ari@Cle 01:00PM ET,10.557,Ari,6.5,7.4,5.66,7.6,6.42,1.06,7.5238,6.0234
182,Javorius Allen,RB,3500,SD@Bal 01:00PM ET,3.229,Bal,2.0,4.1,6.87,4.1,6.84,6.24,6.365,5.21642857143
183,Thomas Rawls,RB,3500,Sea@Dal 04:25PM ET,7.486,Sea,2.5,3.9,6.42,3.8,2.32,,7.123,4.34383333333
184,Falcons ,DST,3400,TB@Atl 01:00PM ET,7.714,Atl,,,,,,,,
185,Ted Ginn Jr.,WR,3400,Ind@Car 08:30PM ET,11.433,Car,9.5,9.4,12.9,7.7,10.43,8.17,10.144,9.74914285714
186,Dexter McCluster,RB,3400,Ten@Hou 01:00PM ET,8.533,Ten,7.5,8.7,7.59,10.0,9.08,9.47,5.8548,8.31354285714
187,Jermaine Kearse,WR,3400,Sea@Dal 04:25PM ET,8.686,Sea,6.0,4.9,8.47,4.5,8.0,9.19,8.996,7.15085714286
188,Theo Riddick,RB,3400,Det@KC 09:30AM ET,11.914,Det,9.5,5.4,10.09,5.8,9.19,2.27,9.009,7.32271428571
189,Isaiah Crowell,RB,3400,Ari@Cle 01:00PM ET,8.757,Cle,4.5,6.5,8.05,6.7,6.12,8.12,5.27,6.46571428571
190,Packers ,DST,3300,GB@Den 08:30PM ET,10.5,GB,,,,,,,,
191,Dwayne Harris,WR,3300,NYG@NO 01:00PM ET,6.643,NYG,4.0,2.8,4.04,2.4,7.22,3.09,4.817,4.05242857143
192,Jordan Cameron,TE,3300,Mia@NE 08:25PM ET,7.55,Mia,9.5,12.2,6.18,11.1,11.0,9.56,6.923,9.49471428571
193,Larry Donnell,TE,3300,NYG@NO 01:00PM ET,8.586,NYG,8.0,17.4,6.57,16.7,11.08,7.99,8.0332,10.8247428571
194,Antonio Andrews,RB,3300,Ten@Hou 01:00PM ET,9.175,Ten,14.0,6.5,9.36,7.1,10.81,5.1,11.112,9.14028571429
195,Tre Mason,RB,3300,SF@StL 01:00PM ET,2.45,StL,,4.1,3.93,4.4,2.34,,1.172,3.1884
196,Ty Montgomery,WR,3300,GB@Den 08:30PM ET,7.0,GB,2.0,7.2,6.33,6.6,1.16,,3.864,4.52566666667
197,Bishop Sankey,RB,3300,Ten@Hou 01:00PM ET,7.2,Ten,2.5,1.8,6.79,2.5,2.48,0.89,3.226,2.88371428571
198,Jeff Janis,WR,3300,GB@Den 08:30PM ET,1.65,GB,,1.8,4.86,1.9,,2.23,,2.6975
199,Rams ,DST,3200,SF@StL 01:00PM ET,12.167,StL,,,,,,,,
200,Panthers ,DST,3200,Ind@Car 08:30PM ET,10.0,Car,,,,,,,,
201,Marques Colston,WR,3200,NYG@NO 01:00PM ET,6.833,NO,4.5,17.6,8.46,16.8,8.32,13.46,5.228,10.624
202,Reggie Bush,RB,3200,SF@StL 01:00PM ET,2.175,SF,5.0,4.4,6.07,7.0,7.26,5.59,4.796,5.73085714286
203,Stevie Johnson,WR,3200,SD@Bal 01:00PM ET,11.9,SD,8.5,6.0,11.34,6.0,10.91,12.43,8.201,9.05442857143
204,Mohamed Sanu,WR,3200,Cin@Pit 01:00PM ET,7.233,Cin,6.5,9.3,7.05,8.8,7.02,7.29,6.303,7.46614285714
205,Joique Bell,RB,3200,Det@KC 09:30AM ET,5.7,Det,3.5,5.1,5.25,6.2,4.99,7.26,8.888,5.884
